subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,context_size,training_seed_count,context_draws_per_training_seed,peak_mae_percentage_points_mean_of_seed_means,peak_mae_percentage_points_sd_across_seed_means,peak_mae_percentage_points_mean_context_sd_within_seed,continuum_mae_percentage_points_mean_of_seed_means,continuum_mae_percentage_points_sd_across_seed_means,continuum_mae_percentage_points_mean_context_sd_within_seed,sparse_tail_mae_percentage_points_mean_of_seed_means,sparse_tail_mae_percentage_points_sd_across_seed_means,sparse_tail_mae_percentage_points_mean_context_sd_within_seed,global_brier_mean_of_seed_means,global_brier_sd_across_seed_means,global_brier_mean_context_sd_within_seed,equal_region_brier_mean_of_seed_means,equal_region_brier_sd_across_seed_means,equal_region_brier_mean_context_sd_within_seed,inference_seconds_mean_of_seed_means,inference_seconds_sd_across_seed_means,inference_seconds_mean_context_sd_within_seed,peak_memory_mib_mean_of_seed_means,peak_memory_mib_sd_across_seed_means,peak_memory_mib_mean_context_sd_within_seed
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,500,3,10,11.392841181746343,0.15397838928678997,0.2568265959271819,11.959429429889658,1.0619701454061847,0.21517355806679192,30.04886389868118,4.37768460324278,1.0417019737906956,0.25418523323084413,0.0007824040974130356,0.0003398596522634565,0.23181085905967624,0.005680970047110275,0.0008541724164573993,0.33892508667583265,0.0020901129180990845,0.0029079057325237085,821.63671875,0.0,0.0
original_n5000,original,5k,5000,4984,Density-guided CNP (ours),ours,500,3,10,5.2889929450114685,0.312248274212574,0.2616242167133213,3.963207173239122,0.36903658933438654,0.03330673798305377,19.388904935281804,4.000176890483249,8.851895277906207,0.22496544072772404,0.0002710457392431046,0.00013654257939219784,0.19625958301190985,0.0016581334363575423,0.006024564221291923,3.1398189919845514,0.0005111505343166148,0.003933361233120789,6726.30517578125,0.0,0.0
seed20260910_n5000,seed20260910,5k,5000,4981,CNP,m0,500,3,10,8.549429821371087,1.08050429239651,0.12302611760869893,5.62103044093081,0.7855304034569031,0.08825336822148783,15.733949467802413,1.8613983662330211,0.3642615991283908,0.2351498141219485,0.002948147175060306,0.00023545672504165336,0.21011574152169368,0.0024091169449902295,0.00034864591807874033,0.9267907830420882,0.07425347031430696,0.13672513135624587,226.38232421875,0.0,0.0
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP,m1,500,3,10,8.066829180044158,0.2384442782451078,0.051371300611194236,6.426124498964353,0.4779802994772082,0.020772997725295065,17.802357611353518,1.8295030733572342,0.20816065666003206,0.23318208699097628,0.0005687626159270064,6.023834883706088e-05,0.21037362769219856,0.0013446546958827592,0.00013290382726706317,1.217740079993382,0.0655251886333927,0.12069494270229614,821.62744140625,0.0,0.0
seed20260910_n5000,seed20260910,5k,5000,4981,Attentive CNP + PE,m2,500,3,10,9.821218158401452,0.373987812519283,0.17940348364745987,11.12940978432473,0.8953128343534907,0.2743564195788903,31.11625630958058,3.322501115210044,1.6047094872518584,0.25228468905035173,0.0008992341217452502,0.00032249141011685107,0.23204690493914457,0.002623055187107003,0.0013559504531019141,1.2434893114492296,0.058761757052181396,0.16922787093101208,821.63671875,0.0,0.0
seed20260910_n5000,seed20260910,5k,5000,4981,Density-guided CNP (ours),ours,500,3,10,5.113456640516605,0.2689812730622384,0.21732386560375197,4.55585202395216,0.20697472400668346,0.03512230079719982,18.956622234291334,5.1608866956663135,9.828596052139245,0.22526100626157275,0.00018637835422079648,0.00018760076640809888,0.19927847685092728,0.0043354378436180506,0.007072780530868262,4.546407442338144,0.022248901480340356,0.089064779067624,6726.30517578125,0.0,0.0
seed20260911_n5000,seed20260911,5k,5000,4980,CNP,m0,500,3,10,8.395246884105804,1.2827477170746513,0.10316977982057997,4.588839052148701,0.5513649548997387,0.09515559987814882,13.440244481471026,2.595264316224172,0.2873815994177256,0.23321276300284519,0.0028149684015175485,0.0003041390072125569,0.20911197625422698,0.003523662774815553,0.00034019054047364,0.940864071653535,0.055203568004684664,0.20605276453423216,226.38232421875,0.0,0.0
seed20260911_n5000,seed20260911,5k,5000,4980,Attentive CNP,m1,500,3,10,8.205611354021897,0.6732177596929156,0.02199599095450742,5.172570726860788,0.5787152324877924,0.021273297911241634,13.968437137769506,1.6768549196604388,0.19861846071658915,0.23274365770607752,0.0007535064925755342,4.288779664055883e-05,0.20924921188985338,0.0014541978743869343,8.376224104040263e-05,1.2476526133560888,0.0379874381935712,0.15783370117937448,821.62744140625,0.0,0.0
seed20260911_n5000,seed20260911,5k,5000,4980,Attentive CNP + PE,m2,500,3,10,11.819294390477106,2.133870083295779,0.482707655253296,11.281842053600935,1.1997184723982448,0.39124651861766563,34.57037723644107,2.809728986163282,1.4635016348394814,0.25295200176420024,0.0020383997740333003,0.0006397205831029742,0.23325703443667786,0.0029427199277565342,0.0008787192371745388,1.2508171484029542,0.10620719064092983,0.2552234275108793,821.63671875,0.0,0.0
seed20260911_n5000,seed20260911,5k,5000,4980,Density-guided CNP (ours),ours,500,3,10,5.319041098965503,0.42172892892646446,0.4773307706735805,3.953963772968798,0.2384265690489615,0.04516175797605174,21.116314042751682,6.380328057361388,7.291362631736523,0.2249699545374928,0.00045080231637008284,0.00019271526259929432,0.19542021821051936,0.003178546496223734,0.005130333340014598,4.535364835864554,0.07395141169757735,0.07176983196396483,6726.30517578125,0.0,0.0
original_n10000,original,10k,10000,9980,CNP,m0,500,3,10,8.141654410997068,0.795214361723675,0.06381294033206204,4.91481125353359,0.19472349615071624,0.12336594968242044,6.685962043266303,1.4725836695067236,0.17759144994567674,0.23215200182459073,0.0009772206783707153,0.00022080542894971488,0.2058975005275642,0.0006301325744942702,0.00012238572981737613,0.9024093909033883,0.018683569588127936,0.13966355604702665,226.38232421875,0.0,0.0
original_n10000,original,10k,10000,9980,Attentive CNP,m1,500,3,10,8.145188231726292,0.1968764288247194,0.035420468308765246,5.209180656048052,0.4592699201881444,0.03577506833157141,7.743678862170829,0.5366143585349822,0.07513529554614816,0.23179280553210155,0.0006462710214889234,5.6453484967324914e-05,0.20682171863709242,0.0006205880951653128,6.810097344554146e-05,1.1308074544339133,0.020042292028192417,0.11180065222158926,821.62744140625,0.0,0.0
original_n10000,original,10k,10000,9980,Attentive CNP + PE,m2,500,3,10,7.063545943909214,1.0225115842328436,0.3842332167966815,9.117268330571028,0.6320209161724374,0.48369173796003034,26.65385664792028,3.413814398453088,1.2105532663895853,0.23711625221238486,0.0005071579400913216,0.0006253254358056111,0.21066263387408668,0.003124204794960471,0.0004403570815958722,1.2516739474919933,0.011429166885173788,0.12079669927754678,821.63671875,0.0,0.0
original_n10000,original,10k,10000,9980,Density-guided CNP (ours),ours,500,3,10,5.837202066231736,0.462048325732129,0.4067453284807998,4.012926941604994,0.30396635464251137,0.06163925889080372,8.526621265598893,1.2549974580831822,3.337039062073186,0.22454908259791417,0.00036580709431006323,0.00019451522429680653,0.18976740271611825,0.0005235375035044017,0.0015251007878554353,8.348942280498644,0.1868405360933024,0.5544906130298556,6726.32421875,0.0,0.0
