method,architecture_id,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,0,101,1000,FE,Tl-208 FE 2614 keV,5,1,8709,4.743038669424236,5.304600618081368
CNP,m0,0,101,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.578314837393295,9.325532433909595
CNP,m0,0,102,1000,full,Full 500-3000 keV,442,58,114299,4.768532166080661,6.497862669246287
CNP,m0,0,102,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.068229635094318,10.934180307927635
CNP,m0,0,102,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.190081957392398,12.631402173286348
CNP,m0,0,102,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.206214703328037,5.020889226789207
CNP,m0,0,102,1000,SE,Tl-208 SE 2103 keV,6,0,2023,10.29843170658364,14.978673887639053
CNP,m0,0,102,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.300410408208341,6.206138811260591
CNP,m0,0,102,1000,FE,Tl-208 FE 2614 keV,5,1,8709,4.465635312029346,5.0575947193057536
CNP,m0,0,102,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.720375162865345,9.465169422630105
CNP,m0,0,103,1000,full,Full 500-3000 keV,442,58,114299,4.807682189585625,6.622556251053558
CNP,m0,0,103,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.689072175200489,10.436426286980707
CNP,m0,0,103,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.87420130902735,13.074142329107156
CNP,m0,0,103,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.609667838166719,5.364315108235411
CNP,m0,0,103,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.596082328248137,15.898885930700418
CNP,m0,0,103,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.450875627942397,5.332852812642499
CNP,m0,0,103,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.3437023902858494,3.97680759472354
CNP,m0,0,103,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.561621789614652,10.3042643253544
CNP,m0,0,104,1000,full,Full 500-3000 keV,442,58,114299,4.806279475708789,6.621358620813214
CNP,m0,0,104,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.686800924549301,10.433777366915823
CNP,m0,0,104,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874218434605288,13.076803992040498
CNP,m0,0,104,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.611299540175289,5.365887043403986
CNP,m0,0,104,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.599640120864635,15.901473997427248
CNP,m0,0,104,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.448453952423923,5.331172928609394
CNP,m0,0,104,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.3409418782351414,3.97306996476892
CNP,m0,0,104,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.560092799697701,10.303259472855101
CNP,m0,0,105,1000,full,Full 500-3000 keV,442,58,114299,4.805389866290208,6.617128981414394
CNP,m0,0,105,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.703295384508835,10.453225686858561
CNP,m0,0,105,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874374450496832,13.056106240259938
CNP,m0,0,105,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.592791847245751,5.346678491527112
CNP,m0,0,105,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.549181366082408,15.864707140930387
CNP,m0,0,105,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.4759111571144325,5.3580714292001
CNP,m0,0,105,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.3809897245757106,4.026597682616912
CNP,m0,0,105,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.51468179962321,10.256661088778001
CNP,m0,0,106,1000,full,Full 500-3000 keV,442,58,114299,4.783851634589783,6.579342922690877
CNP,m0,0,106,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.772742508554934,10.53771834267204
CNP,m0,0,106,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.891871052659063,12.968879877790668
CNP,m0,0,106,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.508495824989225,5.2636205366241215
CNP,m0,0,106,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.3079508097436,15.689979336750747
CNP,m0,0,106,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.619037334950522,5.51186737997409
CNP,m0,0,106,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.5152513431069052,4.209384467756516
CNP,m0,0,106,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.365740683658677,10.104811202950822
CNP,m0,0,107,1000,full,Full 500-3000 keV,442,58,114299,4.761555399414088,6.520800733981232
CNP,m0,0,107,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.937336568464625,10.75140745789009
CNP,m0,0,107,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.057909368402129,12.7745005600752
CNP,m0,0,107,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.324348070375172,5.107431307095667
CNP,m0,0,107,1000,SE,Tl-208 SE 2103 keV,6,0,2023,10.749204927719989,15.292177883616132
CNP,m0,0,107,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.986857714569837,5.888171626529698
CNP,m0,0,107,1000,FE,Tl-208 FE 2614 keV,5,1,8709,4.008728144187016,4.659712047618075
CNP,m0,0,107,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.027919321723289,9.765115090597781
CNP,m0,0,108,1000,full,Full 500-3000 keV,442,58,114299,4.779207552156307,6.571418728275091
CNP,m0,0,108,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.787501501740555,10.556212821261305
CNP,m0,0,108,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.906742138698672,12.950871445284609
CNP,m0,0,108,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.491442886997458,5.248006147379161
