subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
seed20260910_n5000,5000,CNP,m0,1,103,DEP,DEP,supported,828,464,21.01865733799767,-0.01568196917844933,21.03433930717612
seed20260910_n5000,5000,CNP,m0,1,103,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.011955418498232895,25.53520291464012
seed20260910_n5000,5000,CNP,m0,1,103,SE,SE,supported,1356,657,-28.4731482603952,-0.01945635992065542,28.453691900474542
seed20260910_n5000,5000,CNP,m0,1,103,FE,FE,supported,8522,202,-2.4836125950074477,-0.46233579566776206,2.021276799339686
seed20260910_n5000,5000,CNP,m0,1,104,DEP,DEP,supported,828,464,21.01865733799767,-0.015417582253518525,21.03407492025119
seed20260910_n5000,5000,CNP,m0,1,104,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.012112513621409526,25.535045819516945
seed20260910_n5000,5000,CNP,m0,1,104,SE,SE,supported,1356,657,-28.4731482603952,-0.019171759372993424,28.453976501022204
seed20260910_n5000,5000,CNP,m0,1,104,FE,FE,supported,8522,202,-2.4836125950074477,-0.4606103295803188,2.023002265427129
seed20260910_n5000,5000,CNP,m0,1,105,DEP,DEP,supported,828,464,21.01865733799767,-0.015569293402062367,21.034226631399733
seed20260910_n5000,5000,CNP,m0,1,105,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.012160753834777882,25.534997579303575
seed20260910_n5000,5000,CNP,m0,1,105,SE,SE,supported,1356,657,-28.4731482603952,-0.019245478222390533,28.453902782172808
seed20260910_n5000,5000,CNP,m0,1,105,FE,FE,supported,8522,202,-2.4836125950074477,-0.4585790962199743,2.0250334987874736
seed20260910_n5000,5000,CNP,m0,1,106,DEP,DEP,supported,828,464,21.01865733799767,-0.015153943865564568,21.033811281863237
