variant,method,context_size,context_seed,bandwidth_kev,mean_cv_brier,sd_cv_brier_across_folds,selected,selection_data,cv_seed
context_only,Gaussian kernel regression (context only),500,100,10.0,0.25567979691721654,0.03807639638042584,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,100,20.0,0.2392209770686368,0.03828239855132155,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,100,50.0,0.2278654314289744,0.0362545426594076,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,100,100.0,0.22515914754070604,0.03209762535259441,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,101,2.0,0.32961677568370745,0.013086423530655943,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,101,5.0,0.28989377002021355,0.01497258769306921,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,101,10.0,0.2626137048537629,0.017337435012015224,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,101,20.0,0.24825746275015437,0.013417647348586241,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,101,50.0,0.2432186817401154,0.006039497892385367,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,101,100.0,0.24042960238411654,0.006990775219208601,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,102,2.0,0.3352027647004103,0.024208966304906238,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,102,5.0,0.29570545856748315,0.02508613077251955,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,102,10.0,0.25927454607476375,0.015405928739185067,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,102,20.0,0.2377182232335356,0.00553181511618697,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,102,50.0,0.23245268259461213,0.011170252722139593,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,102,100.0,0.23081253183203745,0.011563721714937877,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,103,2.0,0.3285791359210311,0.029036249437063358,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,103,5.0,0.2887291484939555,0.02449051845225984,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,103,10.0,0.2599139241106856,0.01727028725882375,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,103,20.0,0.2413241917478986,0.012256561898066093,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,103,50.0,0.22919744116000257,0.012981106313751682,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,103,100.0,0.22359826239454766,0.014788099656617992,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,104,2.0,0.3367208507874994,0.022909450443685184,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,104,5.0,0.3004504830227094,0.024057662023647463,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,104,10.0,0.263325891163341,0.016030449238633396,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,104,20.0,0.23916000779667557,0.00830259666361052,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,104,50.0,0.23069003203232916,0.011237835066865006,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,104,100.0,0.22983863613725602,0.013281636963529912,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,105,2.0,0.3378064677545413,0.030855015002934253,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,105,5.0,0.30682669488503833,0.029531489155650834,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,105,10.0,0.27279349282790777,0.031180511702547636,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,105,20.0,0.2548816863044398,0.032169597262958684,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,105,50.0,0.23982651474656613,0.02834602943492013,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,105,100.0,0.2338645280886979,0.025421696668536827,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,106,2.0,0.36313523876651904,0.04409403079242563,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,106,5.0,0.3036120337581739,0.04123062171449968,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,106,10.0,0.26447133923880217,0.023972988591016625,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,106,20.0,0.24674169429405737,0.015560586522722679,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,106,50.0,0.23502942964283605,0.007812461014901186,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,106,100.0,0.2320887469675125,0.004278016040454128,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,107,2.0,0.35616234226015103,0.017110601192053508,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,107,5.0,0.3162847265377796,0.01108408818871263,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,107,10.0,0.2880500458676263,0.012936119486952667,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,107,20.0,0.26283540508895664,0.018480803175212474,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,107,50.0,0.24465192188906132,0.01615000808584372,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,107,100.0,0.23757763977145152,0.012104804943042322,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,108,2.0,0.2964302677458592,0.021212398439706393,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,108,5.0,0.26661963806501976,0.025167510960455844,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,108,10.0,0.24930731031472825,0.030796802867479475,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,108,20.0,0.2351906900137808,0.02636494524657593,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,108,50.0,0.22996307520404544,0.01595702115425991,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,108,100.0,0.22839959265659626,0.012337778632147068,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,109,2.0,0.33053691527057527,0.04227245449080207,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,109,5.0,0.28757096351585537,0.02891859973105986,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,109,10.0,0.26369282075712697,0.024306757205348604,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,109,20.0,0.2457626389546344,0.02075158013988476,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,109,50.0,0.2346809997088411,0.018828344615776475,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,109,100.0,0.23331976687698391,0.01846287443827242,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,100,2.0,0.31305592259278636,0.022122392086917124,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,100,5.0,0.2679423409244242,0.01772667642985581,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,100,10.0,0.24292514337323584,0.01084228823762935,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,100,20.0,0.2309842503337774,0.009547426008478889,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,100,50.0,0.22398698648200033,0.009147721786444178,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,100,100.0,0.2225345490476157,0.008794442561949618,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,101,2.0,0.3020904724503679,0.02598013582762874,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,101,5.0,0.2603672347041441,0.008358114255150036,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,101,10.0,0.24438174523122483,0.007733157147625311,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,101,20.0,0.23767998629362613,0.005475087357621637,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,101,50.0,0.23405519554315646,0.004001192188196249,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,101,100.0,0.23252448129778241,0.004563836590075419,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,102,2.0,0.29579211798908805,0.02881375642653988,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,102,5.0,0.25715525648185145,0.020963688722774623,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,102,10.0,0.2391995255594841,0.015374476948996749,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,102,20.0,0.23307101820172424,0.010272697027849104,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,102,50.0,0.23055927095650927,0.008930586103008096,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,102,100.0,0.22984707954696332,0.009693650775701081,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,103,2.0,0.3200311613377449,0.02738444042062883,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,103,5.0,0.26659040655639954,0.019489437946317353,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,103,10.0,0.2439188641258311,0.013807610140106947,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,103,20.0,0.23158258526168826,0.013725603974364503,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,103,50.0,0.22214405674938065,0.01313490884884515,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,103,100.0,0.22106228147567203,0.012661443308534798,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,104,2.0,0.3276538610939525,0.038425752778541544,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,104,5.0,0.27497742567000316,0.02314060998235861,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,104,10.0,0.24941065160572448,0.017458947207147357,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,104,20.0,0.23886860854143985,0.015626016907717206,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,104,50.0,0.23264398069885886,0.012678028764624864,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,104,100.0,0.23177634988995593,0.011155440815973182,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,105,2.0,0.31116516618235346,0.020514968348795945,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,105,5.0,0.26105165700789024,0.0186194141223501,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,105,10.0,0.23724570413335497,0.013350944617698195,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,105,20.0,0.22472318824130516,0.012042892251826474,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,105,50.0,0.21862905663619162,0.013308499280643347,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,105,100.0,0.21815005666480536,0.013329769623861704,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,106,2.0,0.29705264030655176,0.028331282815231746,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,106,5.0,0.25282792717769553,0.01603802946578249,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,106,10.0,0.2394134571634062,0.013221823461130516,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,106,20.0,0.23521580097622036,0.011402158797146601,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,106,50.0,0.2312720869434533,0.011273389874885308,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,106,100.0,0.2310647455240699,0.009577764898818434,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,107,2.0,0.3142632170184233,0.01357140015095849,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,107,5.0,0.26260594557552847,0.005016061410820116,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,107,10.0,0.24513305413901681,0.007557916109441203,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,107,20.0,0.2387059718682191,0.01041355936269539,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,107,50.0,0.23458673791322093,0.008756331856260548,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,107,100.0,0.23315385320689455,0.0068861021260455246,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,108,2.0,0.28189638632953984,0.030477433669911208,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,108,5.0,0.2485982947823125,0.020321067848965334,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,108,10.0,0.23990511466599657,0.017226377168274874,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,108,20.0,0.23614543724716866,0.013835921509856396,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,108,50.0,0.23398182468666393,0.011711035401290032,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,108,100.0,0.2339640604268786,0.01094456454824091,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,109,2.0,0.30297253443636335,0.011140762015009582,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,109,5.0,0.2610043091959732,0.010531829372828613,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,109,10.0,0.24454212160972166,0.01829956758122732,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,109,20.0,0.23632655754203213,0.014484303953163432,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,109,50.0,0.23184671245398603,0.00982952705928764,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),1000,109,100.0,0.23171343108529383,0.00949169990088316,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,100,2.0,0.26789056616652723,0.01544574179068353,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,100,5.0,0.23922578545123963,0.014030076598179736,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,100,10.0,0.23204815815102187,0.012746674244114995,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,100,20.0,0.22980421241539034,0.011564584724528855,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,100,50.0,0.2277101046159816,0.01041078600477337,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,100,100.0,0.22769623206159,0.008862421648004545,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,101,2.0,0.2688422043960421,0.015850732381916185,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,101,5.0,0.2400929312006454,0.010805186927128537,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,101,10.0,0.23241655069078465,0.01023643852579678,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,101,20.0,0.2304255788695367,0.009453951199360081,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,101,50.0,0.22910925882493638,0.00720231785916095,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,101,100.0,0.22937625860905747,0.006143061928509391,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,102,2.0,0.2661450782354982,0.010490364548851043,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,102,5.0,0.23536970839580182,0.005767086260518391,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,102,10.0,0.22938802698861488,0.0057816207119993305,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,102,20.0,0.22851166127558256,0.005923776605522212,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,102,50.0,0.2272788890142881,0.005155756346552054,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,102,100.0,0.22697573795857912,0.004896492060773091,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,103,2.0,0.26484458213989376,0.012244129806696924,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,103,5.0,0.23834360213093625,0.013302291886506825,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,103,10.0,0.23150664504234375,0.012627677789857683,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,103,20.0,0.22876781501189686,0.009483336649329589,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,103,50.0,0.2263740095409999,0.007153744613359765,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,103,100.0,0.2261130966317561,0.006882348600053239,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,104,2.0,0.2710914546189671,0.009510467357490827,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,104,5.0,0.24600074605881933,0.007847962844874235,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,104,10.0,0.23765161789315264,0.009804437173010497,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,104,20.0,0.23402353309286306,0.010038732858089303,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,104,50.0,0.23151797646350608,0.008421094142857622,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,104,100.0,0.23100352039240618,0.007821610500663968,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,105,2.0,0.27434388968895485,0.015079156382780132,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,105,5.0,0.24136801635765512,0.010216224371996901,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,105,10.0,0.23289324657768523,0.00997948374120812,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,105,20.0,0.22937925885327926,0.011151058885474689,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,105,50.0,0.22727653136177142,0.009961766413296082,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,105,100.0,0.22660368111972998,0.008456167140900812,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,106,2.0,0.2708674756106129,0.006034395546040334,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,106,5.0,0.2407027175419875,0.008275618042947113,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,106,10.0,0.23070001961463876,0.008909867066701365,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,106,20.0,0.2271175339880705,0.008503310435738948,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,106,50.0,0.22490455177132054,0.006643340163623942,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,106,100.0,0.22553678311870723,0.006342730356614742,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,107,2.0,0.2769934884730781,0.012461808903476219,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,107,5.0,0.2474793793953327,0.011812163039985796,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,107,10.0,0.23794328825270483,0.007209648199545655,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,107,20.0,0.23314587823718683,0.006999835769419746,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,107,50.0,0.2313263262572383,0.005982036424545135,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),2000,107,100.0,0.2303992179735836,0.005769163740990816,True,five-fold CV within development context,20260908
