variant,method,context_size,context_seed,feature,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
context_only,Gaussian kernel regression (context only),1000,106,FE,8522,202,-2.4836125950074477,-0.08568312345728357,2.3979294715501642
context_only,Gaussian kernel regression (context only),1000,107,DEP,828,464,21.01865733799767,0.005950106788432663,21.012707231209237
context_only,Gaussian kernel regression (context only),1000,107,Bi-212,790,541,-25.547158333138352,-0.003914648252589803,25.543243684885763
context_only,Gaussian kernel regression (context only),1000,107,SE,1356,657,-28.4731482603952,7.993466521472037e-05,28.47322819506041
context_only,Gaussian kernel regression (context only),1000,107,FE,8522,202,-2.4836125950074477,-0.10996215125324837,2.373650443754199
context_only,Gaussian kernel regression (context only),1000,108,DEP,828,464,21.01865733799767,-0.052350236427833874,21.071007574425504
context_only,Gaussian kernel regression (context only),1000,108,Bi-212,790,541,-25.547158333138352,-0.031548160703531725,25.515610172434823
context_only,Gaussian kernel regression (context only),1000,108,SE,1356,657,-28.4731482603952,-0.003539469319802091,28.469608791075395
context_only,Gaussian kernel regression (context only),1000,108,FE,8522,202,-2.4836125950074477,-0.12580958654429542,2.3578030084631525
context_only,Gaussian kernel regression (context only),1000,109,DEP,828,464,21.01865733799767,-0.027142663451518168,21.045800001449187
context_only,Gaussian kernel regression (context only),1000,109,Bi-212,790,541,-25.547158333138352,-0.011070327043960493,25.536088006094392
context_only,Gaussian kernel regression (context only),1000,109,SE,1356,657,-28.4731482603952,-0.031155001715860164,28.44199325867934
context_only,Gaussian kernel regression (context only),1000,109,FE,8522,202,-2.4836125950074477,-0.016429006301857396,2.4671835887055904
context_only,Gaussian kernel regression (context only),2000,100,DEP,828,464,21.01865733799767,0.008775108340075555,21.009882229657595
context_only,Gaussian kernel regression (context only),2000,100,Bi-212,790,541,-25.547158333138352,0.006332912490214504,25.553491245628567
context_only,Gaussian kernel regression (context only),2000,100,SE,1356,657,-28.4731482603952,-0.026970243004459382,28.44617801739074
context_only,Gaussian kernel regression (context only),2000,100,FE,8522,202,-2.4836125950074477,-0.17994225774383144,2.3036703372636165
context_only,Gaussian kernel regression (context only),2000,101,DEP,828,464,21.01865733799767,0.06606108683659961,20.952596251161072
context_only,Gaussian kernel regression (context only),2000,101,Bi-212,790,541,-25.547158333138352,-0.050535033510068494,25.496623299628286
context_only,Gaussian kernel regression (context only),2000,101,SE,1356,657,-28.4731482603952,-0.12310768176327369,28.350040578631923
context_only,Gaussian kernel regression (context only),2000,101,FE,8522,202,-2.4836125950074477,0.05462324982118405,2.5382358448286317
context_only,Gaussian kernel regression (context only),2000,102,DEP,828,464,21.01865733799767,0.010450610684265005,21.008206727313407
context_only,Gaussian kernel regression (context only),2000,102,Bi-212,790,541,-25.547158333138352,0.009647060512008032,25.55680539365036
context_only,Gaussian kernel regression (context only),2000,102,SE,1356,657,-28.4731482603952,-0.02641139709109175,28.446736863304107
context_only,Gaussian kernel regression (context only),2000,102,FE,8522,202,-2.4836125950074477,-0.19480567789742498,2.2888069171100227
context_only,Gaussian kernel regression (context only),2000,103,DEP,828,464,21.01865733799767,0.01821057599376008,21.00044676200391
context_only,Gaussian kernel regression (context only),2000,103,Bi-212,790,541,-25.547158333138352,0.014616214523011095,25.561774547661365
context_only,Gaussian kernel regression (context only),2000,103,SE,1356,657,-28.4731482603952,-0.015049552121848553,28.45809870827335
context_only,Gaussian kernel regression (context only),2000,103,FE,8522,202,-2.4836125950074477,-0.043795354975173506,2.439817240032274
context_only,Gaussian kernel regression (context only),2000,104,DEP,828,464,21.01865733799767,0.005235018911997624,21.013422319085674
context_only,Gaussian kernel regression (context only),2000,104,Bi-212,790,541,-25.547158333138352,0.015966339665351992,25.563124672803706
context_only,Gaussian kernel regression (context only),2000,104,SE,1356,657,-28.4731482603952,-0.011640333784762591,28.461507926610434
context_only,Gaussian kernel regression (context only),2000,104,FE,8522,202,-2.4836125950074477,-0.13396579306281242,2.3496468019446355
context_only,Gaussian kernel regression (context only),2000,105,DEP,828,464,21.01865733799767,0.004377857784521044,21.014279480213148
context_only,Gaussian kernel regression (context only),2000,105,Bi-212,790,541,-25.547158333138352,0.0044757564231057145,25.55163408956146
context_only,Gaussian kernel regression (context only),2000,105,SE,1356,657,-28.4731482603952,-0.028463371293374617,28.444684889101822
context_only,Gaussian kernel regression (context only),2000,105,FE,8522,202,-2.4836125950074477,-0.2070513553933978,2.27656123961405
context_only,Gaussian kernel regression (context only),2000,106,DEP,828,464,21.01865733799767,-0.07339040525392582,21.092047743251598
context_only,Gaussian kernel regression (context only),2000,106,Bi-212,790,541,-25.547158333138352,-0.06896627731541871,25.478192055822934
context_only,Gaussian kernel regression (context only),2000,106,SE,1356,657,-28.4731482603952,-0.14689661883627858,28.32625164155892
context_only,Gaussian kernel regression (context only),2000,106,FE,8522,202,-2.4836125950074477,0.021488406678096816,2.505101001685545
context_only,Gaussian kernel regression (context only),2000,107,DEP,828,464,21.01865733799767,0.025546679239485393,20.993110658758184
context_only,Gaussian kernel regression (context only),2000,107,Bi-212,790,541,-25.547158333138352,0.013133029882239633,25.560291363020593
context_only,Gaussian kernel regression (context only),2000,107,SE,1356,657,-28.4731482603952,0.00020990831664513543,28.473358168711844
