method,architecture_id,training_seed,context_seed,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
Attentive CNP + PE,m2,1,100,full,Full 500-3000 keV,442,58,114299,8.442710043116008,10.863410518695005
Attentive CNP + PE,m2,1,100,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.03929138106108,7.436899111874674
Attentive CNP + PE,m2,1,100,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.121855210484338,10.11428055910196
Attentive CNP + PE,m2,1,100,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.142759982525643,8.880224843408964
Attentive CNP + PE,m2,1,100,SE,Tl-208 SE 2103 keV,6,0,2023,5.031942426107294,6.678355737348435
Attentive CNP + PE,m2,1,100,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.433186146038687,8.888227873199707
Attentive CNP + PE,m2,1,100,FE,Tl-208 FE 2614 keV,5,1,8709,4.181768940376835,5.2552851287724165
Attentive CNP + PE,m2,1,100,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.23997780878892,27.874145886132506
Attentive CNP + PE,m2,1,101,full,Full 500-3000 keV,442,58,114299,8.609234983106678,11.003857325779121
Attentive CNP + PE,m2,1,101,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.1110155103628845,7.576842728585767
Attentive CNP + PE,m2,1,101,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.103438645399956,10.130035643166948
Attentive CNP + PE,m2,1,101,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.398098790883778,9.165237074495646
Attentive CNP + PE,m2,1,101,SE,Tl-208 SE 2103 keV,6,0,2023,5.071793184013628,6.78038969343699
Attentive CNP + PE,m2,1,101,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.866041794609446,9.30148073882533
Attentive CNP + PE,m2,1,101,FE,Tl-208 FE 2614 keV,5,1,8709,4.372891890803934,5.460961966613623
Attentive CNP + PE,m2,1,101,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.082119846174287,27.756406552502895
Attentive CNP + PE,m2,1,102,full,Full 500-3000 keV,442,58,114299,8.501267161015196,10.93383222886755
Attentive CNP + PE,m2,1,102,DEP,Tl-208 DEP 1592 keV,6,0,1323,5.992415459547642,7.408037750403398
Attentive CNP + PE,m2,1,102,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.09117690220076,10.038965403310643
Attentive CNP + PE,m2,1,102,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.250008674750476,9.016816034174191
Attentive CNP + PE,m2,1,102,SE,Tl-208 SE 2103 keV,6,0,2023,4.970673036906303,6.631155737966397
Attentive CNP + PE,m2,1,102,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.578082020441465,9.025265093915277
Attentive CNP + PE,m2,1,102,FE,Tl-208 FE 2614 keV,5,1,8709,4.157774392179787,5.214642763628056
Attentive CNP + PE,m2,1,102,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.485262955968402,28.1602945536335
Attentive CNP + PE,m2,1,103,full,Full 500-3000 keV,442,58,114299,8.545670109452958,10.943197432729209
Attentive CNP + PE,m2,1,103,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.140582676295022,7.572502837747386
Attentive CNP + PE,m2,1,103,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.15960377606322,10.214873311844878
Attentive CNP + PE,m2,1,103,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.2578398045511054,9.013551613584065
Attentive CNP + PE,m2,1,103,SE,Tl-208 SE 2103 keV,6,0,2023,5.141538943540286,6.8095420042600985
