method,architecture_id,training_budget,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,18866,1,104,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.260086732145783,12.554412662005973
CNP,m0,18866,1,104,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.137809958027711,4.984085826224397
CNP,m0,18866,1,104,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.409290878992184,15.039525447243642
CNP,m0,18866,1,104,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.991861571952826,5.99622680626243
CNP,m0,18866,1,104,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.51584949620935,6.981979414299517
CNP,m0,18866,1,104,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.305520982206529,8.209176146823854
CNP,m0,18866,1,105,500,full,Full 500-3000 keV,442,58,114299,4.679970140035446,6.348834642793963
CNP,m0,18866,1,105,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.100746529851736,10.99756263735145
CNP,m0,18866,1,105,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.223649646977917,12.591182076002749
CNP,m0,18866,1,105,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.167318936928844,4.999560131307685
CNP,m0,18866,1,105,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.539810656145464,15.130014839806478
CNP,m0,18866,1,105,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.863386961907457,5.858685353155797
CNP,m0,18866,1,105,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.359633285592706,6.836169230662979
CNP,m0,18866,1,105,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.3872334602771,8.27791315612174
CNP,m0,18866,1,106,500,full,Full 500-3000 keV,442,58,114299,4.6901488349164255,6.3544241029940745
CNP,m0,18866,1,106,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.132378071703456,11.044567566540822
CNP,m0,18866,1,106,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.256175783605448,12.558301385003842
CNP,m0,18866,1,106,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.141365910968744,4.986036380839305
CNP,m0,18866,1,106,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.409365715821684,15.039923427429958
CNP,m0,18866,1,106,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.052089460762743,6.06831952886277
CNP,m0,18866,1,106,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.642431110776967,7.100412670888094
CNP,m0,18866,1,106,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.233841976268261,8.150097830812744
CNP,m0,18866,1,107,500,full,Full 500-3000 keV,442,58,114299,4.66306102833083,6.344770231434888
CNP,m0,18866,1,107,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.04928729569262,10.922930140744471
CNP,m0,18866,1,107,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.171946890833295,12.644711183819537
CNP,m0,18866,1,107,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.209294491490257,5.024658299523417
CNP,m0,18866,1,107,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.70639497504652,15.246407081823826
CNP,m0,18866,1,107,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.7226784951947165,5.705523524975121
CNP,m0,18866,1,107,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.207834042784992,6.694880957821538
