subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
original_n5000,original,5k,5000,4984,Attentive CNP,m1,overall_500_3000,3,89.82654600301659,0.12471012904304542,0.5268789886789973,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,FE_2614_pm5,1,15.0,5.270462766947299,25.98076211353316,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,FE_2614_pm5,2,20.0,7.027283689263065,26.457513110645905,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,FE_2614_pm5,3,31.666666666666668,5.270462766947299,27.53785273643051,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,SE_2103_pm5,1,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,SE_2103_pm5,2,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,SE_2103_pm5,3,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,DEP_1592_pm5,1,18.333333333333332,5.270462766947299,27.53785273643051,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,DEP_1592_pm5,2,50.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,DEP_1592_pm5,3,50.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,feature_1620_pm5,1,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,feature_1620_pm5,2,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,feature_1620_pm5,3,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,overall_500_3000,1,18.43137254901961,0.7527970052248296,1.138738225531033,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,overall_500_3000,2,36.16138763197586,1.02249170663178,2.9879104127837963,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,overall_500_3000,3,52.835595776772244,0.6779411431014511,2.489544621454608,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,FE_2614_pm5,1,6.666666666666667,17.568209223157663,2.8867513459481287,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,FE_2614_pm5,2,16.666666666666668,24.240543005740474,5.773502691896257,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,FE_2614_pm5,3,31.666666666666668,29.35512338664451,10.408329997330664,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,SE_2103_pm5,1,33.333333333333336,17.568209223157663,20.207259421636902,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,SE_2103_pm5,2,71.66666666666667,19.855772286747918,18.929694486000912,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,SE_2103_pm5,3,80.0,7.027283689263065,26.457513110645905,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,DEP_1592_pm5,1,15.0,5.270462766947299,25.98076211353316,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,DEP_1592_pm5,2,16.666666666666668,0.0,28.867513459481287,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,DEP_1592_pm5,3,35.0,17.390734269817536,13.228756555322953,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,feature_1620_pm5,1,36.666666666666664,7.027283689263065,23.09401076758503,30
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,feature_1620_pm5,2,60.0,8.606629658238704,17.320508075688775,30
