subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,region_id,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
seed20260910_n5000,5000,CNP,m0,1,101,SE,6,0,2023,9.392060996233383,13.988636179478773
seed20260910_n5000,5000,CNP,m0,1,101,continuum_2200_2400,40,0,9093,8.919328867535448,9.737776288465305
seed20260910_n5000,5000,CNP,m0,1,101,FE,5,1,8709,2.816347035080491,3.5774204812596277
seed20260910_n5000,5000,CNP,m0,1,101,sparse_tail,13,47,68,13.462955866226986,14.111249874823578
seed20260910_n5000,5000,CNP,m0,1,102,full,442,58,114299,5.744136312598193,7.5771546906480856
seed20260910_n5000,5000,CNP,m0,1,102,DEP,6,0,1323,8.150981925517701,12.027304741143181
seed20260910_n5000,5000,CNP,m0,1,102,feature_1620kev,6,0,1361,9.802564612836184,12.082867587561692
seed20260910_n5000,5000,CNP,m0,1,102,continuum_1700_2000,60,0,8230,3.978287154551287,4.95600210776206
seed20260910_n5000,5000,CNP,m0,1,102,SE,6,0,2023,9.266175002010375,13.749493701194027
seed20260910_n5000,5000,CNP,m0,1,102,continuum_2200_2400,40,0,9093,9.408960058425556,10.211604067618284
seed20260910_n5000,5000,CNP,m0,1,102,FE,5,1,8709,2.5112797327637137,3.1421912454210297
seed20260910_n5000,5000,CNP,m0,1,102,sparse_tail,13,47,68,13.055897008461177,13.702135169805862
seed20260910_n5000,5000,CNP,m0,1,103,full,442,58,114299,5.736861361956183,7.651805548786755
seed20260910_n5000,5000,CNP,m0,1,103,DEP,6,0,1323,7.872549222387769,11.77929765635339
seed20260910_n5000,5000,CNP,m0,1,103,feature_1620kev,6,0,1361,9.660318850973294,12.178657970571946
seed20260910_n5000,5000,CNP,m0,1,103,continuum_1700_2000,60,0,8230,4.056722566673899,4.957846722021346
seed20260910_n5000,5000,CNP,m0,1,103,SE,6,0,2023,9.492923838245108,14.18850169343787
seed20260910_n5000,5000,CNP,m0,1,103,continuum_2200_2400,40,0,9093,8.423928990550714,9.257447258931384
seed20260910_n5000,5000,CNP,m0,1,103,FE,5,1,8709,3.5190602957557924,4.321312601603266
seed20260910_n5000,5000,CNP,m0,1,103,sparse_tail,13,47,68,14.147849042663493,14.804542737925571
seed20260910_n5000,5000,CNP,m0,1,104,full,442,58,114299,5.750631934952724,7.6262882646787435
seed20260910_n5000,5000,CNP,m0,1,104,DEP,6,0,1323,8.030142466920069,11.918446127557356
seed20260910_n5000,5000,CNP,m0,1,104,feature_1620kev,6,0,1361,9.740087370346362,12.123448297423565
seed20260910_n5000,5000,CNP,m0,1,104,continuum_1700_2000,60,0,8230,4.0118065116130035,4.94948470811859
seed20260910_n5000,5000,CNP,m0,1,104,SE,6,0,2023,9.387490147044588,13.98349366393191
seed20260910_n5000,5000,CNP,m0,1,104,continuum_2200_2400,40,0,9093,8.833414613334352,9.651775495761322
seed20260910_n5000,5000,CNP,m0,1,104,FE,5,1,8709,3.0250388083413338,3.831330633380943
seed20260910_n5000,5000,CNP,m0,1,104,sparse_tail,13,47,68,13.739720136684538,14.388995132495097
seed20260910_n5000,5000,CNP,m0,1,105,full,442,58,114299,5.764372112995149,7.6341845457320225
seed20260910_n5000,5000,CNP,m0,1,105,DEP,6,0,1323,8.073933351751743,11.957500283446649
seed20260910_n5000,5000,CNP,m0,1,105,feature_1620kev,6,0,1361,9.762079137636425,12.108982894244894
seed20260910_n5000,5000,CNP,m0,1,105,continuum_1700_2000,60,0,8230,3.999495517071019,4.949680175729748
seed20260910_n5000,5000,CNP,m0,1,105,SE,6,0,2023,9.35637844403621,13.924485810882793
seed20260910_n5000,5000,CNP,m0,1,105,continuum_2200_2400,40,0,9093,8.935421147283044,9.749158189769757
seed20260910_n5000,5000,CNP,m0,1,105,FE,5,1,8709,2.982301113636384,3.776521722370206
seed20260910_n5000,5000,CNP,m0,1,105,sparse_tail,13,47,68,13.715422139972135,14.363781001867276
seed20260910_n5000,5000,CNP,m0,1,106,full,442,58,114299,5.731332065850066,7.596754744661335
seed20260910_n5000,5000,CNP,m0,1,106,DEP,6,0,1323,8.021420174094859,11.910683723882883
seed20260910_n5000,5000,CNP,m0,1,106,feature_1620kev,6,0,1361,9.736408032841704,12.125675717249845
seed20260910_n5000,5000,CNP,m0,1,106,continuum_1700_2000,60,0,8230,4.011190477765429,4.950255743188089
seed20260910_n5000,5000,CNP,m0,1,106,SE,6,0,2023,9.370715811760892,13.949119117047818
seed20260910_n5000,5000,CNP,m0,1,106,continuum_2200_2400,40,0,9093,8.961970670295942,9.777442955420938
seed20260910_n5000,5000,CNP,m0,1,106,FE,5,1,8709,2.8421272284703503,3.606594111347635
seed20260910_n5000,5000,CNP,m0,1,106,sparse_tail,13,47,68,13.516429508929123,14.163926555609688
seed20260910_n5000,5000,CNP,m0,1,107,full,442,58,114299,5.749187131924175,7.641840525659944
seed20260910_n5000,5000,CNP,m0,1,107,DEP,6,0,1323,7.973046990020823,11.867495340318108
seed20260910_n5000,5000,CNP,m0,1,107,feature_1620kev,6,0,1361,9.711156870881975,12.143093471406912
seed20260910_n5000,5000,CNP,m0,1,107,continuum_1700_2000,60,0,8230,4.027370793433775,4.950808129764202
seed20260910_n5000,5000,CNP,m0,1,107,SE,6,0,2023,9.426799112068355,14.060054490904891
seed20260910_n5000,5000,CNP,m0,1,107,continuum_2200_2400,40,0,9093,8.665825344472204,9.490439985268196
seed20260910_n5000,5000,CNP,m0,1,107,FE,5,1,8709,3.2022330109659083,4.058527571103918
seed20260910_n5000,5000,CNP,m0,1,107,sparse_tail,13,47,68,13.944825227930119,14.59706090484898
seed20260910_n5000,5000,CNP,m0,1,108,full,442,58,114299,5.727545669477864,7.647924947500324
seed20260910_n5000,5000,CNP,m0,1,108,DEP,6,0,1323,7.832061875958847,11.744075907881212
seed20260910_n5000,5000,CNP,m0,1,108,feature_1620kev,6,0,1361,9.639947580926055,12.193222412526001
seed20260910_n5000,5000,CNP,m0,1,108,continuum_1700_2000,60,0,8230,4.069170617965678,4.962071849581873
seed20260910_n5000,5000,CNP,m0,1,108,SE,6,0,2023,9.51521864568743,14.231756104679738
seed20260910_n5000,5000,CNP,m0,1,108,continuum_2200_2400,40,0,9093,8.36090414006444,9.194911301898708
seed20260910_n5000,5000,CNP,m0,1,108,FE,5,1,8709,3.5663932095800197,4.360227306802254
seed20260910_n5000,5000,CNP,m0,1,108,sparse_tail,13,47,68,14.166426859451493,14.823892087730393
seed20260910_n5000,5000,CNP,m0,1,109,full,442,58,114299,5.761236827977831,7.601619983468955
seed20260910_n5000,5000,CNP,m0,1,109,DEP,6,0,1323,8.159836846322126,12.035128720900609
seed20260910_n5000,5000,CNP,m0,1,109,feature_1620kev,6,0,1361,9.80622885127759,12.080926315102758
seed20260910_n5000,5000,CNP,m0,1,109,continuum_1700_2000,60,0,8230,3.9785977947453905,4.954840090078697
seed20260910_n5000,5000,CNP,m0,1,109,SE,6,0,2023,9.28039675949724,13.778345268216844
seed20260910_n5000,5000,CNP,m0,1,109,continuum_2200_2400,40,0,9093,9.29302405591845,10.096973747093791
seed20260910_n5000,5000,CNP,m0,1,109,FE,5,1,8709,2.591408888661418,3.3187778418068694
seed20260910_n5000,5000,CNP,m0,1,109,sparse_tail,13,47,68,13.26332468039769,13.90903574027264
seed20260910_n5000,5000,CNP,m0,2,100,full,442,58,114299,5.776429148425056,7.996405023539645
seed20260910_n5000,5000,CNP,m0,2,100,DEP,6,0,1323,6.745469749935616,10.500302858521831
seed20260910_n5000,5000,CNP,m0,2,100,feature_1620kev,6,0,1361,8.845879322807688,13.02553161740021
seed20260910_n5000,5000,CNP,m0,2,100,continuum_1700_2000,60,0,8230,4.820482693754042,5.618139744617723
seed20260910_n5000,5000,CNP,m0,2,100,SE,6,0,2023,11.42920167904571,15.784698710721564
seed20260910_n5000,5000,CNP,m0,2,100,continuum_2200_2400,40,0,9093,6.213593770908492,7.031346470730318
seed20260910_n5000,5000,CNP,m0,2,100,FE,5,1,8709,6.400231604764597,6.853561930424259
seed20260910_n5000,5000,CNP,m0,2,100,sparse_tail,13,47,68,16.179392321708,16.86615901312678
seed20260910_n5000,5000,CNP,m0,2,101,full,442,58,114299,5.796965747316863,8.034605884784401
seed20260910_n5000,5000,CNP,m0,2,101,DEP,6,0,1323,6.733003010737742,10.485018293460598
seed20260910_n5000,5000,CNP,m0,2,101,feature_1620kev,6,0,1361,8.845772162441897,13.041396010326903
seed20260910_n5000,5000,CNP,m0,2,101,continuum_1700_2000,60,0,8230,4.83772255188229,5.639099992120478
seed20260910_n5000,5000,CNP,m0,2,101,SE,6,0,2023,11.489969915899069,15.828559237485424
seed20260910_n5000,5000,CNP,m0,2,101,continuum_2200_2400,40,0,9093,6.141317010536411,6.955631755073803
seed20260910_n5000,5000,CNP,m0,2,101,FE,5,1,8709,6.584181341046199,7.025824377743267
seed20260910_n5000,5000,CNP,m0,2,101,sparse_tail,13,47,68,16.351670519272105,17.046158669147957
seed20260910_n5000,5000,CNP,m0,2,102,full,442,58,114299,5.746792881600425,7.941594584435703
seed20260910_n5000,5000,CNP,m0,2,102,DEP,6,0,1323,6.786122810673166,10.55052511982752
seed20260910_n5000,5000,CNP,m0,2,102,feature_1620kev,6,0,1361,8.860835087291258,12.97499052973954
seed20260910_n5000,5000,CNP,m0,2,102,continuum_1700_2000,60,0,8230,4.769207001835751,5.557628717416035
seed20260910_n5000,5000,CNP,m0,2,102,SE,6,0,2023,11.276396125078575,15.674552816200935
seed20260910_n5000,5000,CNP,m0,2,102,continuum_2200_2400,40,0,9093,6.363616750888243,7.186800508335538
seed20260910_n5000,5000,CNP,m0,2,102,FE,5,1,8709,6.160120461582467,6.629854277135186
seed20260910_n5000,5000,CNP,m0,2,102,sparse_tail,13,47,68,16.006970411644488,16.685274849513203
seed20260910_n5000,5000,CNP,m0,2,103,full,442,58,114299,5.8969064223669605,8.222562819250786
seed20260910_n5000,5000,CNP,m0,2,103,DEP,6,0,1323,6.646231752408159,10.38325819558265
seed20260910_n5000,5000,CNP,m0,2,103,feature_1620kev,6,0,1361,8.845493125112519,13.15247632853686
seed20260910_n5000,5000,CNP,m0,2,103,continuum_1700_2000,60,0,8230,4.956697223418822,5.778624867166171
seed20260910_n5000,5000,CNP,m0,2,103,SE,6,0,2023,11.826716592036561,16.073954599221587
seed20260910_n5000,5000,CNP,m0,2,103,continuum_2200_2400,40,0,9093,5.7837626494020355,6.591256524360932
seed20260910_n5000,5000,CNP,m0,2,103,FE,5,1,8709,7.412739691151946,7.808291729110911
seed20260910_n5000,5000,CNP,m0,2,103,sparse_tail,13,47,68,17.13132010122809,17.8685040657705
seed20260910_n5000,5000,CNP,m0,2,104,full,442,58,114299,5.792621813722937,8.028229692520409
seed20260910_n5000,5000,CNP,m0,2,104,DEP,6,0,1323,6.764804519344193,10.524896679999584
seed20260910_n5000,5000,CNP,m0,2,104,feature_1620kev,6,0,1361,8.846047912931091,13.000716616457384
seed20260910_n5000,5000,CNP,m0,2,104,continuum_1700_2000,60,0,8230,4.797169526321761,5.590808920949053
seed20260910_n5000,5000,CNP,m0,2,104,SE,6,0,2023,11.375667253424528,15.745652425460591
seed20260910_n5000,5000,CNP,m0,2,104,continuum_2200_2400,40,0,9093,6.23665581558944,7.050944658493195
seed20260910_n5000,5000,CNP,m0,2,104,FE,5,1,8709,6.605924242238389,7.046474983115317
seed20260910_n5000,5000,CNP,m0,2,104,sparse_tail,13,47,68,16.494127091181362,17.19498113919761
seed20260910_n5000,5000,CNP,m0,2,105,full,442,58,114299,5.820108033537403,8.080202593300431
seed20260910_n5000,5000,CNP,m0,2,105,DEP,6,0,1323,6.733228355639604,10.48638231217497
seed20260910_n5000,5000,CNP,m0,2,105,feature_1620kev,6,0,1361,8.845619314308877,13.040111836218252
seed20260910_n5000,5000,CNP,m0,2,105,continuum_1700_2000,60,0,8230,4.836876941644976,5.638228180736434
seed20260910_n5000,5000,CNP,m0,2,105,SE,6,0,2023,11.490737665144719,15.828866143269213
seed20260910_n5000,5000,CNP,m0,2,105,continuum_2200_2400,40,0,9093,6.122282017614372,6.933034148822403
seed20260910_n5000,5000,CNP,m0,2,105,FE,5,1,8709,6.835243827991558,7.262084301826157
seed20260910_n5000,5000,CNP,m0,2,105,sparse_tail,13,47,68,16.702180971847266,17.414083176272616
seed20260910_n5000,5000,CNP,m0,2,106,full,442,58,114299,5.790959916022723,8.02420775868281
seed20260910_n5000,5000,CNP,m0,2,106,DEP,6,0,1323,6.745281501254658,10.500500168353126
seed20260910_n5000,5000,CNP,m0,2,106,feature_1620kev,6,0,1361,8.845824544326906,13.02531807491735
seed20260910_n5000,5000,CNP,m0,2,106,continuum_1700_2000,60,0,8230,4.821036337870987,5.618998525640617
seed20260910_n5000,5000,CNP,m0,2,106,SE,6,0,2023,11.437117477119427,15.790218280622797
seed20260910_n5000,5000,CNP,m0,2,106,continuum_2200_2400,40,0,9093,6.1919047207932865,7.0069816274461445
seed20260910_n5000,5000,CNP,m0,2,106,FE,5,1,8709,6.554398211044574,6.997990766837628
seed20260910_n5000,5000,CNP,m0,2,106,sparse_tail,13,47,68,16.37057399709262,17.065971004320005
seed20260910_n5000,5000,CNP,m0,2,107,full,442,58,114299,5.841917329775402,8.120640860403977
seed20260910_n5000,5000,CNP,m0,2,107,DEP,6,0,1323,6.708595111737642,10.456625059239459
seed20260910_n5000,5000,CNP,m0,2,107,feature_1620kev,6,0,1361,8.845670802067795,13.071628117131311
seed20260910_n5000,5000,CNP,m0,2,107,continuum_1700_2000,60,0,8230,4.871070953836702,5.6773043266055225
seed20260910_n5000,5000,CNP,m0,2,107,SE,6,0,2023,11.588151798835613,15.899548478234248
seed20260910_n5000,5000,CNP,m0,2,107,continuum_2200_2400,40,0,9093,6.022892074636461,6.831496505087524
seed20260910_n5000,5000,CNP,m0,2,107,FE,5,1,8709,7.006333746082101,7.423417546100403
seed20260910_n5000,5000,CNP,m0,2,107,sparse_tail,13,47,68,16.827164571417068,17.546276998636255
seed20260910_n5000,5000,CNP,m0,2,108,full,442,58,114299,5.916384323246972,8.257309101224214
seed20260910_n5000,5000,CNP,m0,2,108,DEP,6,0,1323,6.620969448714459,10.354282773675811
seed20260910_n5000,5000,CNP,m0,2,108,feature_1620kev,6,0,1361,8.845548975282872,13.18600050644219
seed20260910_n5000,5000,CNP,m0,2,108,continuum_1700_2000,60,0,8230,4.991267930402141,5.820988278244433
seed20260910_n5000,5000,CNP,m0,2,108,SE,6,0,2023,11.92161983879611,16.143789622516966
seed20260910_n5000,5000,CNP,m0,2,108,continuum_2200_2400,40,0,9093,5.696213077475782,6.501714060827525
seed20260910_n5000,5000,CNP,m0,2,108,FE,5,1,8709,7.532940949904623,7.922533788823186
seed20260910_n5000,5000,CNP,m0,2,108,sparse_tail,13,47,68,17.196863046502727,17.938199906034818
seed20260910_n5000,5000,CNP,m0,2,109,full,442,58,114299,5.732990261432773,7.916359083174106
seed20260910_n5000,5000,CNP,m0,2,109,DEP,6,0,1323,6.827875115679177,10.603980953347516
seed20260910_n5000,5000,CNP,m0,2,109,feature_1620kev,6,0,1361,8.903478449022002,12.923462342681857
seed20260910_n5000,5000,CNP,m0,2,109,continuum_1700_2000,60,0,8230,4.716745660170989,5.498438623817677
seed20260910_n5000,5000,CNP,m0,2,109,SE,6,0,2023,11.126449852118679,15.567087326933496
seed20260910_n5000,5000,CNP,m0,2,109,continuum_2200_2400,40,0,9093,6.49725735113679,7.3245877885966255
seed20260910_n5000,5000,CNP,m0,2,109,FE,5,1,8709,6.07239656858065,6.5486335451896585
seed20260910_n5000,5000,CNP,m0,2,109,sparse_tail,13,47,68,16.033341333583582,16.711620348657203
seed20260910_n5000,5000,Attentive CNP,m1,0,100,full,442,58,114299,5.855588715747691,8.085061746934741
seed20260910_n5000,5000,Attentive CNP,m1,0,100,DEP,6,0,1323,6.900997589191276,10.712433094635168
seed20260910_n5000,5000,Attentive CNP,m1,0,100,feature_1620kev,6,0,1361,8.962700948384873,12.842031296602727
seed20260910_n5000,5000,Attentive CNP,m1,0,100,continuum_1700_2000,60,0,8230,4.733169207009689,5.5155309400535915
seed20260910_n5000,5000,Attentive CNP,m1,0,100,SE,6,0,2023,10.878901846219403,15.40362139431641
seed20260910_n5000,5000,Attentive CNP,m1,0,100,continuum_2200_2400,40,0,9093,6.872401779021245,7.712825190139021
seed20260910_n5000,5000,Attentive CNP,m1,0,100,FE,5,1,8709,6.982848085367056,7.40067683639227
seed20260910_n5000,5000,Attentive CNP,m1,0,100,sparse_tail,13,47,68,17.783428958025606,18.54098572624052
seed20260910_n5000,5000,Attentive CNP,m1,0,101,full,442,58,114299,5.80479561455199,8.001488430406452
seed20260910_n5000,5000,Attentive CNP,m1,0,101,DEP,6,0,1323,6.766568814717731,10.53867752309323
seed20260910_n5000,5000,Attentive CNP,m1,0,101,feature_1620kev,6,0,1361,8.829310762622116,13.005355094442598
seed20260910_n5000,5000,Attentive CNP,m1,0,101,continuum_1700_2000,60,0,8230,4.887943765751689,5.686807447577199
seed20260910_n5000,5000,Attentive CNP,m1,0,101,SE,6,0,2023,11.035491208443283,15.51607350969829
seed20260910_n5000,5000,Attentive CNP,m1,0,101,continuum_2200_2400,40,0,9093,6.979427907028694,7.841256015659477
seed20260910_n5000,5000,Attentive CNP,m1,0,101,FE,5,1,8709,6.425398443945466,6.874969753269126
seed20260910_n5000,5000,Attentive CNP,m1,0,101,sparse_tail,13,47,68,17.304615736145852,18.028867285336858
seed20260910_n5000,5000,Attentive CNP,m1,0,102,full,442,58,114299,5.828885257509279,8.05299224789262
