subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,window,grid_spacing_kev,cell_count,training_seed_count,context_count,source_event_predictions_sha256_count,source_event_predictions_sha256_set_sha256,source_curve_sha256_count,source_curve_sha256_set_sha256,mean_absolute_second_difference_cell_mean,mean_absolute_second_difference_cell_sd,mean_absolute_second_difference_mean_of_seed_means,mean_absolute_second_difference_initialization_sd_across_seed_means,mean_absolute_second_difference_mean_context_sd_within_seed,mean_absolute_second_difference_training_subset_sd_across_subset_means
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,continuum_1700_2000,1.0,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.004907548002281978,0.0010333193532807963,0.004907548002281979,0.0012428745448598768,3.705917869481378e-05,
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,continuum_2200_2400,1.0,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.0073806080061578575,0.0008866073234417306,0.007380608006157857,0.0010584008054446183,0.00011809027635979338,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,continuum_1700_2000,1.0,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.006813057185552797,0.001413921649169014,0.006813057185552796,0.0017013425645375758,5.5374895319457036e-05,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,continuum_2200_2400,1.0,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.008724257946014403,0.0016779041596191155,0.008724257946014403,0.0020114129531006992,0.00015558056693707327,
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,continuum_1700_2000,1.0,30,3,10,30,7ec29b15208798a5d8c404465237f9dc29a252a30259d52d180b33618011ab02,30,a4b41757b452bbf96a5263d32651bce02acbaf844b1552128a28e4cdc691fef8,0.34046499258041707,0.008725297266346212,0.34046499258041707,0.009545665919113879,0.003701578184006493,
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,continuum_2200_2400,1.0,30,3,10,30,7ec29b15208798a5d8c404465237f9dc29a252a30259d52d180b33618011ab02,30,a4b41757b452bbf96a5263d32651bce02acbaf844b1552128a28e4cdc691fef8,0.3416663284845125,0.023811334539566346,0.3416663284845125,0.027870218718240677,0.005540835300832662,
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,continuum_1700_2000,1.0,30,3,10,30,4e0ebb9b32f6c3f19bc5ce8ff420ee8f5d13eb05a01e531026c8e9430f1908b5,30,11e5b642046a69fdf6a75d6c7afede68e337d3f0b020227e73bfe66786534e1d,0.08789644267299489,0.023203688293713994,0.0878964426729949,0.02792007983512916,0.0007653185204666355,
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,continuum_2200_2400,1.0,30,3,10,30,4e0ebb9b32f6c3f19bc5ce8ff420ee8f5d13eb05a01e531026c8e9430f1908b5,30,11e5b642046a69fdf6a75d6c7afede68e337d3f0b020227e73bfe66786534e1d,0.09726350001620085,0.0031088505280615544,0.09726350001620084,0.00315296214495775,0.0015794078301507647,
original_n5000,original,5k,5000,4984,CNP,m0,matched_neural,continuum_1700_2000,1.0,30,3,10,30,6b63c61a000b07df2d5b14fd6075844693046d621c01d53bc8448b6ea61b4c98,30,0c9a60564a7e3db226ccb86c3dbe8f127c74122399417348e5d5b9f145cb368d,0.005246042268188208,0.0007254135783114305,0.005246042268188207,0.0008728586205739258,2.7504515792485853e-05,
original_n5000,original,5k,5000,4984,CNP,m0,matched_neural,continuum_2200_2400,1.0,30,3,10,30,6b63c61a000b07df2d5b14fd6075844693046d621c01d53bc8448b6ea61b4c98,30,0c9a60564a7e3db226ccb86c3dbe8f127c74122399417348e5d5b9f145cb368d,0.006652421656180712,0.00022162411299510122,0.006652421656180713,0.00022786719732414412,0.00011487260209500919,
