energy_kev,grid_spacing_kev,illustrative__original_n5000__m0,illustrative__original_n5000__m1,illustrative__original_n5000__m2,illustrative__original_n5000__ours,illustrative__context_only__kernel_context_only,illustrative__full_n18866_plus_context__kernel_pooled_data,illustrative__context_only__bernoulli_gp_matern32
515.0,1.0,0.3717550188302994,0.346167950630188,0.279135400056839,0.3884922623634338,0.3740805983543396,0.35519424080848694,0.40793065468895406
516.0,1.0,0.36896160066127776,0.3383185690641403,0.31572570562362673,0.40441250264644624,0.3739527761936188,0.3558451533317566,0.4150013730802584
517.0,1.0,0.36913785338401794,0.34456090688705443,0.3775499337911606,0.41096210956573487,0.37382379174232483,0.3565168082714081,0.422359200859006
518.0,1.0,0.3664335989952087,0.3474236977100372,0.3838906779885292,0.4167377030849457,0.37369364500045776,0.3572065234184265,0.4298841605992152
519.0,1.0,0.37326055467128755,0.34713703095912934,0.3248405814170837,0.4133048099279404,0.3735623359680176,0.35791102051734924,0.43747351474434026
520.0,1.0,0.3684461772441864,0.3291089069843292,0.2693990474939346,0.4021043235063553,0.3734298348426819,0.35862645506858826,0.4449927150893416
521.0,1.0,0.36903430223464967,0.3436248534917831,0.2743676710128784,0.4019120198488235,0.3732961118221283,0.3593483567237854,0.45235061922022624
522.0,1.0,0.3691050362586975,0.33800571024417875,0.3178892531991005,0.411223024725914,0.3731611669063568,0.36007145047187805,0.45954918958003077
523.0,1.0,0.37000425934791564,0.3444081199169159,0.39809454560279844,0.4202259284257889,0.37302497029304504,0.3607897162437439,0.46660272053597396
524.0,1.0,0.3665301424264908,0.34788098216056823,0.4281720817089081,0.41621636986732485,0.372887521982193,0.3614962697029114,0.47352638461286745
525.0,1.0,0.3726451236009598,0.358107607960701,0.40299258440732955,0.41237661719322205,0.37274882197380066,0.3621833324432373,0.480335852121236
526.0,1.0,0.3779418808221817,0.33833358973264693,0.46992202937602995,0.41625438272953036,0.37260881066322327,0.36284226179122925,0.48704692691772067
527.0,1.0,0.3730528217554092,0.3411238580942154,0.4904958027601242,0.4260734283924103,0.3724674880504608,0.36346346139907837,0.4936752117221541
528.0,1.0,0.36682558059692383,0.3432320135831833,0.3634687688946724,0.43169211149215697,0.3723248243331909,0.3640363812446594,0.500227507910692
529.0,1.0,0.3713382351398468,0.34987241089344023,0.3284978187084198,0.4234649646282196,0.3721808195114136,0.3645496964454651,0.506679143932919
530.0,1.0,0.3781652945280075,0.35212632060050963,0.3210112777352333,0.40333197712898256,0.3720354735851288,0.3649912476539612,0.5130318882545879
531.0,1.0,0.36918716490268705,0.3367577874660492,0.33596108049154283,0.40253166437149046,0.3718887269496918,0.3653482496738434,0.5192256674356415
532.0,1.0,0.36874891459941866,0.35024125695228575,0.13154563926160334,0.41016302108764646,0.37174057960510254,0.3656074106693268,0.5251993587257857
533.0,1.0,0.37127226948738096,0.3599597978591919,0.27345372550189495,0.4184439343214035,0.3715910315513611,0.36575520038604736,0.5309044324300061
534.0,1.0,0.3670670199394226,0.34677199244499207,0.4366574394702911,0.420692440867424,0.37144002318382263,0.3657780885696411,0.536290971079751
535.0,1.0,0.3656347268819809,0.34221067011356354,0.39755182653665544,0.4209765356779098,0.3712875545024872,0.36566290259361267,0.5413070490390481
536.0,1.0,0.36810061395168303,0.3504804557561874,0.46653096228837965,0.4237519460916519,0.37113362550735474,0.365397185087204,0.5458892809347446
537.0,1.0,0.37132921159267424,0.35913672029972077,0.3458149215579033,0.4215424084663391,0.3709781765937805,0.3649696111679077,0.5499555997651271
538.0,1.0,0.37185962200164796,0.3580406641960144,0.27914128184318543,0.41910833060741426,0.3708212077617645,0.36437034606933594,0.5534341937335938
539.0,1.0,0.37818879663944244,0.34812988877296447,0.25663591869175434,0.4130915993452072,0.37066271901130676,0.3635915517807007,0.5562494328171397
540.0,1.0,0.3725585377216339,0.3528911739587784,0.2914719411730766,0.42222308456897734,0.37050265073776245,0.36262771487236023,0.558320305496494
541.0,1.0,0.3725005465745926,0.3601412773132324,0.22288976795971394,0.42582245290279386,0.3703410029411316,0.36147597432136536,0.5595787456396124
542.0,1.0,0.3745554596185684,0.35357394397258757,0.4508014506101608,0.4245492571592331,0.3701777458190918,0.3601365089416504,0.5599830667301262
543.0,1.0,0.3731977319717407,0.3531230264902115,0.447335222363472,0.4055132299661636,0.3700128495693207,0.3586125373840332,0.5595329834073794
544.0,1.0,0.3642376232147217,0.35374512016773224,0.2703990688920021,0.4073220318555832,0.36984631419181824,0.3569105267524719,0.5582606618685588
545.0,1.0,0.3693767833709717,0.3529751408100128,0.23046060681343078,0.4125280511379242,0.3696781396865845,0.3550400137901306,0.5562105159767015
546.0,1.0,0.36976343631744385,0.35089711129665374,0.2720047748088837,0.42378570735454557,0.3695082366466522,0.35301345586776733,0.5534608894271713
547.0,1.0,0.3765975272655487,0.35914867639541626,0.30961292654275896,0.4275526624917984,0.3693366050720215,0.35084593296051025,0.5501200343702095
548.0,1.0,0.3743215101957321,0.3551076674461365,0.31776467591524127,0.4188521444797516,0.36916324496269226,0.3485547602176666,0.5462975267644765
549.0,1.0,0.3772331929206848,0.35219186067581176,0.31963484913110735,0.42524775087833405,0.36898812651634216,0.34615886211395264,0.5420995806261146
550.0,1.0,0.3667515116930008,0.353405881524086,0.3594032484292984,0.4211130237579346,0.3688112199306488,0.34367838501930237,0.537629948124291
551.0,1.0,0.3745612293481827,0.3582028937339783,0.3557859227061272,0.4250352483987808,0.3686324954032898,0.34113410115242004,0.5329625331594698
552.0,1.0,0.3729947233200073,0.354175768494606,0.2786781769990921,0.42189298272132875,0.36845192313194275,0.3385467529296875,0.5280700617889451
553.0,1.0,0.3740448141098022,0.3505805951356888,0.3556331545114517,0.42044649362564085,0.36826950311660767,0.33593666553497314,0.5228672813058637
554.0,1.0,0.37226293861866,0.34474973022937777,0.3157023912668228,0.4140060240030289,0.36808517575263977,0.3333233594894409,0.517274890694388
555.0,1.0,0.37532836854457857,0.35966977417469026,0.2610428555309772,0.4158653402328491,0.36789894104003906,0.33072495460510254,0.5112474336855755
556.0,1.0,0.3729829752445221,0.3576327711343765,0.32463666260242463,0.41681844234466553,0.36771076917648315,0.32815811038017273,0.5047833298005262
557.0,1.0,0.3753599882125854,0.3498227995634079,0.33180235892534254,0.41198428511619567,0.36752063035964966,0.3256377577781677,0.49791585865745214
558.0,1.0,0.3706909304857254,0.35580685615539553,0.3219779121875763,0.41224499642848966,0.3673284947872162,0.32317692041397095,0.4906808933888982
559.0,1.0,0.3774490541219711,0.35352097630500795,0.3036405551433563,0.40662581264972686,0.36713433265686035,0.32078680396080017,0.483154691445435
560.0,1.0,0.37480523228645324,0.34912224888801574,0.34066826075315476,0.40514872789382933,0.36693811416625977,0.31847673654556274,0.4753937894644267
561.0,1.0,0.3804050916433334,0.35474938541650775,0.3251026025414467,0.4122274780273438,0.36673983931541443,0.316254198551178,0.4674502563989549
562.0,1.0,0.37335855424404146,0.3477581185102463,0.26939174234867097,0.41028031647205354,0.36653947830200195,0.3141251504421234,0.4593830370231018
563.0,1.0,0.37398410856723785,0.35046118795871734,0.2913901036977768,0.4097214084863663,0.36633697152137756,0.31209394335746765,0.451249792270616
564.0,1.0,0.37637027859687805,0.3528043937683105,0.3385862758755684,0.41010411858558654,0.36613228917121887,0.31016361713409424,0.4431072130541196
565.0,1.0,0.3795691758394241,0.3600358182191849,0.335843003988266,0.40967591881752013,0.3659254312515259,0.3083359897136688,0.4349943972845267
566.0,1.0,0.3749374443292618,0.3589812833070755,0.30862224847078323,0.4097779840230942,0.3657163679599762,0.30661195516586304,0.4268984374058391
567.0,1.0,0.3776755601167679,0.36091016590595243,0.2868354652822018,0.39986736834049225,0.36550506949424744,0.3049914836883545,0.41880423623624097
568.0,1.0,0.37535329461097716,0.35178437292575837,0.21281153261661528,0.4012596660852432,0.3652914762496948,0.30347388982772827,0.4107316534113181
569.0,1.0,0.37621149837970735,0.3556409624218941,0.22116864383220672,0.4059834265708923,0.36507558822631836,0.30205801129341125,0.4027041540690277
