subset_id,ordering_id,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,training_seed,context_seed,context_size,peak_mae_percentage_points,continuum_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,2,104,500,9.767183259082115,4.4973927057394825,16.235423922574917,0.23618160092003776,0.2128819176594358,0.9032431510277092,226.38232421875,20260909-phase3-seed20260911_n5000-m0-seed2-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,2,105,500,9.545832879466115,4.4631760659656186,15.971012663986572,0.23566208495885116,0.21236811415980883,0.8783157509751618,226.38232421875,20260909-phase3-seed20260911_n5000-m0-seed2-final-ctx-s105-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,2,106,500,9.969133512818114,4.533568793637197,16.46993610709428,0.23669754962043946,0.21336508071166413,0.951892307959497,226.38232421875,20260909-phase3-seed20260911_n5000-m0-seed2-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,2,107,500,9.666665253950734,4.483764926417347,16.13307651056151,0.23593137231811134,0.21265732089172618,1.2310383948497474,226.38232421875,20260909-phase3-seed20260911_n5000-m0-seed2-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,2,108,500,9.991328029672712,4.554307605397181,16.568662731243545,0.23668766443160913,0.2134673793129481,1.1091224439442158,226.38232421875,20260909-phase3-seed20260911_n5000-m0-seed2-final-ctx-s108-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,CNP,m0,2,109,500,9.71309324014246,4.475365750928864,16.114853070880503,0.23609796507703848,0.21271977063889222,0.9240689957514405,226.38232421875,20260909-phase3-seed20260911_n5000-m0-seed2-final-ctx-s109-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,100,500,8.392891364349834,4.944301462759556,14.844960508676374,0.23230408080007736,0.20977884062888902,1.17375329695642,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s100-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,101,500,8.319948418276153,5.00192628370753,14.521715367032087,0.23231243831684162,0.20986435767373157,1.6240077507682145,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s101-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,102,500,8.366430954027713,4.9587393422138195,14.654094398873704,0.23236609565246377,0.20989439908810903,1.1655833460390568,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s102-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,103,500,8.358639059378117,4.9727340608157835,14.855268622925777,0.23219065267085995,0.20963879817365463,1.3487050328403711,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s103-n500-drop10100-mc50
