method,architecture_id,training_budget,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Attentive CNP,m1,2000,2,102,500,phase2_new_evaluation,8.17340323236074,4.482729542833981,10.294571637051044,0.23200930897566777,0.20855002450455026,0.2772228280082345,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s102-n500-drop10100-mc50
Attentive CNP,m1,2000,2,103,500,phase2_new_evaluation,8.160802614691898,4.413415758832874,10.530210510864956,0.23202207587388674,0.2084027071474457,0.2747151372022927,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s103-n500-drop10100-mc50
Attentive CNP,m1,2000,2,104,500,phase2_new_evaluation,8.164593752274591,4.423730858183792,10.4939057546181,0.23201468339282078,0.20842864865801203,0.2749564261175692,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s104-n500-drop10100-mc50
Attentive CNP,m1,2000,2,105,500,phase2_new_evaluation,8.16542064820326,4.435752052644085,10.570364671692136,0.2320242440134079,0.2084772842568439,0.27640968514606357,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s105-n500-drop10100-mc50
Attentive CNP,m1,2000,2,106,500,phase2_new_evaluation,8.167048601053065,4.443694475445131,10.44410215618578,0.23201519084643996,0.2084745937413368,0.2766934232786298,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s106-n500-drop10100-mc50
Attentive CNP,m1,2000,2,107,500,phase2_new_evaluation,8.16341813873415,4.4225449121650255,10.526257573565765,0.23201886991710202,0.20843277096186072,0.27477867901325226,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s107-n500-drop10100-mc50
Attentive CNP,m1,2000,2,108,500,phase2_new_evaluation,8.158951430612357,4.41297584637057,10.414634723811124,0.23201495098181443,0.208377885094792,0.2750919032841921,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s108-n500-drop10100-mc50
Attentive CNP,m1,2000,2,109,500,phase2_new_evaluation,8.168850518065268,4.458217996462233,10.433684861631882,0.23201383932466635,0.20851026173806253,0.274655865970999,821.62744140625,20260909-phase2-b2000-m1-seed2-final-ctx-s109-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,100,500,phase2_new_evaluation,12.817268602963344,16.72839808271978,25.06948825139972,0.2837948677766812,0.25821905633223513,0.3311013411730528,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s100-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,101,500,phase2_new_evaluation,13.052146558770742,17.04008335724425,24.706208996993567,0.2850865203118856,0.25972601899547637,0.33403319492936134,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s101-n500-drop10100-mc50
