energy_kev,grid_spacing_kev,mean__original_n5000__m0,mean__original_n5000__m1,mean__original_n5000__m2,mean__original_n5000__ours,mean__seed20260910_n5000__m0,mean__seed20260910_n5000__m1,mean__seed20260910_n5000__m2,mean__seed20260910_n5000__ours,mean__seed20260911_n5000__m0,mean__seed20260911_n5000__m1,mean__seed20260911_n5000__m2,mean__seed20260911_n5000__ours,mean__context_only__kernel_context_only,mean__full_n18866_plus_context__kernel_pooled_data,mean__context_only__bernoulli_gp_matern32
545.0,1.0,0.3870525555411974,0.37668004794915516,0.3119768162717422,0.41229248158137016,0.41533834815025333,0.40165770085652663,0.26025188945978883,0.39119046777486804,0.389342013001442,0.3926288070082664,0.18046017940218248,0.3845290383299192,0.3397864907979965,0.36746699213981626,0.42707172759214557
546.0,1.0,0.38825849455595013,0.3772544837594033,0.37699809193114436,0.41966575680176416,0.4202513809402783,0.40258965166409816,0.2526287294427554,0.3805135065118471,0.39565144552787146,0.3952444715499877,0.21966898235927024,0.38565763638416917,0.3398170441389084,0.3647333711385727,0.4241761120361266
547.0,1.0,0.3947204673488935,0.3807526528040569,0.36088092121481896,0.4229646922747294,0.424938322464625,0.40233105301857,0.251590265745918,0.382371388276418,0.4017374965747198,0.39352833908796314,0.30817944253484414,0.3842748517394066,0.3398479223251343,0.3620611041784286,0.42155315848739117
548.0,1.0,0.39161503823598226,0.37949523822466524,0.33356120856602983,0.4229505032896995,0.4214937555392585,0.40184339882930126,0.20799197100537517,0.39039455042282734,0.3969172761241595,0.39322290865580245,0.339582835311691,0.3839001134236654,0.3398791283369064,0.35951975286006926,0.41810359159251786
549.0,1.0,0.39181100692351656,0.3742596061428387,0.335869573764503,0.4201739133199055,0.4209843854904175,0.4011872311830521,0.22714698368310934,0.383316045631965,0.3960578324000041,0.3970644596417746,0.3919483975668749,0.38178679246703784,0.3399106562137604,0.3571723401546478,0.41430344054801915
550.0,1.0,0.3847163390119871,0.37792593099673594,0.37408751256267236,0.41908470700184514,0.4162466760873794,0.3999302104512851,0.3152486872474352,0.3811754654049873,0.38772545621792465,0.3937397912542025,0.4072534235132237,0.38177871469656627,0.3399425208568573,0.35506654977798463,0.4156753832453983
551.0,1.0,0.39089284229278565,0.37928248274326326,0.3930083618064721,0.42290323573350896,0.41992326527833934,0.40199812410275143,0.3405987789034845,0.3893216596444448,0.39537609185775124,0.3962084855238596,0.3529675802787145,0.3848380089600882,0.3399747133255005,0.3532259613275528,0.4199281191972066
552.0,1.0,0.3919351892471313,0.3753402224580446,0.2979931447356939,0.4191256695389748,0.41994884085655215,0.4005588597655297,0.3295152028103669,0.3889401034712791,0.3978323392073314,0.39264229309558873,0.3854118955830732,0.38372071874141683,0.34000723659992216,0.3516431301832199,0.4212149383268059
553.0,1.0,0.3926252268354099,0.3781721788247427,0.4077851633230845,0.4160970138510069,0.42286797221501676,0.40134710790713624,0.419143481562535,0.38609981375932684,0.40212190481026966,0.39413254108031587,0.388239053785801,0.38510110876957576,0.3400400996208191,0.3502762734889984,0.4220380100430656
554.0,1.0,0.39239117165406545,0.3752564988136291,0.41336174227297307,0.41323777341842655,0.4215878123243651,0.3966151465773583,0.3629475531180699,0.3853163535197577,0.39867068699995667,0.39067864324649176,0.41077305771907174,0.3859405323068301,0.3400732934474945,0.3490510582923889,0.4229055373237308
555.0,1.0,0.3901576985120773,0.377489702820778,0.3641161010315022,0.41042178736130397,0.41996525434652965,0.403727859377861,0.32565679965913297,0.38641368854045866,0.3966851632396381,0.39637187186876943,0.4975336272815863,0.38431964437166843,0.3401068240404129,0.34786816835403445,0.41884170733934456
556.0,1.0,0.3902571818033854,0.37877846864859266,0.4162565362254778,0.4137039338946343,0.41940952696402867,0.40166596974929175,0.3007043954581022,0.3874725197951,0.39776636890570327,0.39420504613717405,0.46849234447876614,0.38813821808497107,0.34014069437980654,0.3466160178184509,0.41360581377844224
557.0,1.0,0.3900510253707569,0.3762325753569603,0.42416819174091014,0.4146188507676125,0.4214549480676651,0.3993489826520283,0.28049593166013564,0.38600003325939175,0.3937288905183473,0.3924882756272952,0.35776026513179143,0.3847746674219767,0.34017491340637207,0.3451866418123245,0.40840948201454363
558.0,1.0,0.3924864560365677,0.37549453878402717,0.3520506561597189,0.4151822116374971,0.42393789392709724,0.40143293229738863,0.22956843217213946,0.38113287713130306,0.3998063059647877,0.39400806939601896,0.3158784907559554,0.3848862975637119,0.34020946025848386,0.3434917151927948,0.4064290738438828
559.0,1.0,0.39383289015293127,0.3773772511482239,0.3535016585687796,0.40521156227588656,0.42571651160717006,0.40297055677572885,0.2985828528354565,0.37947138381004336,0.40087188583612426,0.3948515102863313,0.3934632827838262,0.3824734473427137,0.34024435877799986,0.34147576689720155,0.40909930989576465
560.0,1.0,0.39203912313779193,0.37362130864461257,0.38266204261779785,0.4069277719656626,0.41985843652486804,0.39922719536225004,0.4596031700273355,0.3881459147930145,0.40073142198721556,0.39477315926551826,0.4587463530699412,0.38740804002682366,0.3402795970439911,0.3391247093677521,0.4077245739582224
561.0,1.0,0.3936941310763359,0.37872113605340335,0.4078698503871758,0.41233447241783144,0.42568740214904144,0.40264363598823555,0.5045491916636627,0.3917821590105693,0.4042433537443479,0.39645374882221224,0.46669412084420525,0.3872205943465233,0.340315181016922,0.3364687502384186,0.4058967980401128
562.0,1.0,0.39089246845245357,0.3752234795093537,0.3543414334456125,0.4078956813017527,0.423476982474327,0.39971759215990715,0.41435303035875165,0.39199158275127405,0.3984834420879681,0.39510488082965217,0.4698598119020461,0.3834519349932671,0.3403511196374893,0.33357994854450224,0.4072575064035192
563.0,1.0,0.39264410271247224,0.37692373146613445,0.3250253074665864,0.41218917349974304,0.4216409477988878,0.4024962222774823,0.4290466194152831,0.3898049278656641,0.3983766886790594,0.39509666583935416,0.39277141890923184,0.38583508761723834,0.3403873980045319,0.33056463599205016,0.4118889731055694
564.0,1.0,0.3922284968495369,0.37820999121665955,0.3444976437588532,0.41743109379212057,0.423870016435782,0.4052919921477635,0.4213081772426765,0.3914353951215744,0.39675055869420367,0.3977860661546389,0.3163143551548322,0.38877242646614707,0.34042402505874636,0.3275506585836411,0.4160209074623424
565.0,1.0,0.3927928789258003,0.3799461497863134,0.35367354957262676,0.41569155335426333,0.4225674554308256,0.4033766376376152,0.45155722448229796,0.3804177500406902,0.4006749037901559,0.3980322925845782,0.3177855585912864,0.38730895169576013,0.34046100080013275,0.324668163061142,0.41596239230064924
566.0,1.0,0.391827796181043,0.38033714699745175,0.33211143457392855,0.41444520850976313,0.4234014062484105,0.4075554953018825,0.39829870227972664,0.39224123207728073,0.40058339478572197,0.4030554705262184,0.32090343342224753,0.3907774466276169,0.34049833118915557,0.32202243208885195,0.41473321133276925
567.0,1.0,0.3969422557353974,0.38078130125999454,0.3152666206409534,0.4085997608304023,0.42707157870133716,0.4018602108558019,0.3027790310680866,0.39677611887455,0.4031557875275613,0.39778212259213125,0.3090838639140129,0.387587740222613,0.34053601026535035,0.31965831518173216,0.4115199549910713
568.0,1.0,0.392643235007922,0.37880503408114113,0.27134904132783416,0.406113793094953,0.42187168453137086,0.40097375053167345,0.2767525271276633,0.4003423245151837,0.3998449853857358,0.39712696486711513,0.3121260095511873,0.3867406988342603,0.34057403206825254,0.317522257566452,0.40865685186673256
569.0,1.0,0.39433835258086525,0.3797740447123845,0.2921102588375409,0.40745296114683155,0.4254044937888782,0.40458977524439493,0.2386265124604106,0.40264994645118707,0.4016266396641731,0.39870244914293296,0.34115508260329563,0.3894849531451861,0.3406124085187912,0.31544283628463743,0.40503265964458607
570.0,1.0,0.39319349588950475,0.38575843918323527,0.3155877451449633,0.4092151565154394,0.4233792804479599,0.40798944173256557,0.21646046405285593,0.39617345062891646,0.4004194445411364,0.4021707497239113,0.36008674538135516,0.39044981853167215,0.3406511336565018,0.31316593289375305,0.4004137945443114
571.0,1.0,0.3938741232355436,0.3787620138327281,0.31162280671298515,0.40954540350039803,0.422490422507127,0.40225831492741904,0.21217565962905066,0.3931781401832899,0.3995510233839354,0.39873741253217065,0.4106449257433413,0.3905404457648594,0.3406902104616165,0.3104663997888565,0.39482176712878286
572.0,1.0,0.3898722672661146,0.38586677219470356,0.3935317909121513,0.413366083741188,0.4206407905220985,0.4088543636600176,0.2479682222778599,0.395612034380436,0.3960077574849129,0.402873438179493,0.44863318392634394,0.39235913234949116,0.34072963893413544,0.307284539937973,0.39021764237942025
573.0,1.0,0.3967907275160154,0.38166714555025105,0.3457993471026421,0.41260042061408364,0.43071093215545014,0.4053881121873856,0.5219379145006339,0.4028809472918509,0.4097385790944099,0.4014648310343425,0.3833235788444679,0.38902625733613977,0.34076941907405855,0.30377382040023804,0.38576821904017466
574.0,1.0,0.39397817414999003,0.37917525962988546,0.2880628433972597,0.40568457947174713,0.4258921432892481,0.4040915527939796,0.5055592668851216,0.3967306237220765,0.4051110744277637,0.39717979252338415,0.3348333146969477,0.3909362395207087,0.3408095449209213,0.30021220445632935,0.38045724744801107
575.0,1.0,0.39479167689879735,0.38180911819140123,0.33679541210333497,0.41254718075195945,0.4255633330345155,0.4117010928591092,0.5365849938094616,0.4018094935615858,0.40334733031193426,0.40614597388108564,0.38516464736064276,0.3936459833979607,0.3408500224351883,0.29686378836631777,0.38260225744680626
576.0,1.0,0.3947816708286603,0.37964726396401716,0.46740327580769847,0.40919149430592866,0.4269730384747188,0.40756828111410137,0.47936467187603315,0.3937758235931396,0.4041522141695023,0.39968289333581924,0.47982799677054083,0.3869255860646567,0.3408908575773239,0.29389684498310087,0.3793839171014589
577.0,1.0,0.39230639115969346,0.38504331332445146,0.4933884668250879,0.41430482526620227,0.42501619742314034,0.41130069704850514,0.42698322994510335,0.3974802265167236,0.40209316996733346,0.4028681758443515,0.4341039512753487,0.38701496843496963,0.34093203246593473,0.2913782805204391,0.3726334016924554
578.0,1.0,0.3981430885195732,0.3807557229995727,0.47267154655853894,0.41374286135037736,0.42721096074581144,0.4072553689678511,0.4551010644336541,0.40703785902261724,0.40716768161455796,0.40072736219565075,0.31681808057924116,0.3914822941621145,0.34097355604171753,0.2893060654401779,0.36341203689221685
579.0,1.0,0.3980091381072998,0.38141088767846426,0.46727688868840545,0.40595961068073916,0.43022198768456776,0.41140770769119267,0.4159248710076014,0.4042961719632149,0.4087992704113325,0.404599380771319,0.25911023891468843,0.38850051180521655,0.34101543128490447,0.2876441806554794,0.3476921624900452
580.0,1.0,0.39265603568156565,0.38032031629482904,0.41892348050077766,0.3917640423576037,0.4237970476349195,0.40738070722421,0.43720960084597277,0.42054325350125615,0.3991613382895788,0.4024845765630404,0.3035798606226842,0.368655135413011,0.34105764925479887,0.28634670078754426,0.333093121308471
581.0,1.0,0.3925293918848038,0.38493085505565,0.38166874938209844,0.31534933222333594,0.4240513195594151,0.41252425072590504,0.3392006647239129,0.359920153995355,0.4039679589271545,0.4062591038346291,0.29243575830260915,0.207204561834534,0.341100212931633,0.285370996594429,0.3243212320856344
582.0,1.0,0.3996030976176262,0.3842811783750852,0.2956004895617564,0.30141714221239096,0.42920153806606925,0.4075953981876373,0.26076472744842366,0.2979300742348035,0.4083227396408717,0.40414831264813744,0.22375269424170258,0.23808545383810995,0.34114312529563906,0.28468386828899384,0.3187761716776805
583.0,1.0,0.39621870523691183,0.3828021372954051,0.2549968744019667,0.221794631605347,0.42797166512409845,0.4079525246222815,0.2587781385829052,0.22938353784879048,0.4036847743590673,0.400227952182293,0.2017813345864415,0.19130275936921434,0.3411863803863525,0.28426410257816315,0.3088264339028086
584.0,1.0,0.39658323250214267,0.38189703730742147,0.26582754916946094,0.247312108228604,0.4274661112229029,0.4065786384741464,0.23611211911092195,0.2568376077910265,0.4055922556519508,0.40262006016572316,0.2576135569463174,0.23105115616321567,0.34122997522354126,0.28410359025001525,0.3161390004773438
585.0,1.0,0.39562810589869823,0.3838274776140849,0.3527930523852507,0.24997496242821216,0.4291008013486862,0.4123491543332736,0.2595320700357358,0.36656891826788585,0.4068282883564632,0.4060413460532824,0.37555810494224234,0.28109376324216534,0.34127390682697295,0.2842084437608719,0.32330182039314226
586.0,1.0,0.3959944141705831,0.3787861191431681,0.3895423262417317,0.39482772477467853,0.42993476051092144,0.4100928121606509,0.2452730280111233,0.4243217560648918,0.40832515213886894,0.4010155744949976,0.3512062601298094,0.36625228271881755,0.3413181811571121,0.28460055887699126,0.3281938162740161
587.0,1.0,0.39345377246538793,0.3820713118314743,0.38342718978722895,0.4175389664570491,0.42582422717412316,0.4107374143600465,0.2370966699216515,0.412286200761795,0.40640932818253833,0.40595457448561995,0.30916278550525517,0.39106470288832984,0.34136279225349425,0.28532026410102845,0.3355001513277483
