method,architecture_id,context_size,training_seed,overlapping_context_draw_count,peak_region_mean_mae_percentage_points_context_mean,peak_region_mean_mae_percentage_points_context_sd,peak_region_mean_mae_percentage_points_context_range,continuum_region_mean_mae_percentage_points_context_mean,continuum_region_mean_mae_percentage_points_context_sd,continuum_region_mean_mae_percentage_points_context_range,sparse_tail_mae_percentage_points_context_mean,sparse_tail_mae_percentage_points_context_sd,sparse_tail_mae_percentage_points_context_range,global_brier_context_mean,global_brier_context_sd,global_brier_context_range,equal_region_brier_context_mean,equal_region_brier_context_sd,equal_region_brier_context_range
Attentive CNP,m1,1000,2,10,8.024180491310007,0.036180608200444664,0.10934877138252119,4.905881166507126,0.03389396745656682,0.09843098317133059,8.888521426007589,0.08411021976581298,0.2494955883813148,0.23387340600480006,2.685864150522489e-05,8.43704390637301e-05,0.20745406280291623,2.8069484334916135e-05,9.036064511133701e-05
Attentive CNP,m1,2000,2,10,8.011115680759731,0.01729739274458601,0.053734297377086016,4.897202161808941,0.014448885566974469,0.04516528703599487,8.995735785974608,0.03601825284775472,0.11336810214085702,0.23390004475752538,1.1207358376922838e-05,3.8753554419623804e-05,0.20743125143558086,2.0063293401173715e-05,6.369241154682848e-05
Attentive CNP + PE,m2,250,0,10,6.80482851260845,0.5526158942780708,2.00912135069939,7.777839947222293,0.8218761776610083,2.8821456391493916,24.97497980633594,0.9297301587826675,3.318378328108299,0.22958043047681548,0.0008432716886873385,0.0030267440273489266,0.20293312337912997,0.00037859739046482556,0.001324612899823302
Attentive CNP + PE,m2,500,0,10,7.209586854373742,0.5704563845270262,1.6031199326546357,8.296435760539236,0.8792596044167225,2.3980745732287136,24.205272319585433,0.8967934821949042,2.6569522039228275,0.23012275620994221,0.0009172454365504528,0.002551725768911439,0.20293711778885334,0.00038578938433725336,0.0012295179955919833
Attentive CNP + PE,m2,1000,0,10,7.48968686830838,0.7135054427602993,2.022200259732722,8.761367531060031,1.0469643558591126,2.914125723759902,23.905195553839782,0.9900036219257992,2.930832871518742,0.2306089276333762,0.0011270488181079647,0.0031454491473957846,0.2031907498964512,0.0005961228911599873,0.0016604306408238012
Attentive CNP + PE,m2,2000,0,10,7.2441690735021975,0.2684333066103917,0.7777256662726852,8.374077419864783,0.404197587345801,1.1791091221421066,24.308063407861333,0.48554463974795387,1.4562919226912001,0.23020072082958126,0.00042681379156304233,0.0012288935724661942,0.20319320763547197,0.00013078308494773202,0.0003881871438031481
Attentive CNP + PE,m2,250,1,10,5.393889286638616,0.21175373151480795,0.6169253881692107,6.804073992626021,0.5112229924171474,1.405496839510879,24.214574712733782,0.6244279179548651,1.751500421199026,0.2283020731478707,0.0004463375220753341,0.0013299261871197732,0.2025239227126984,0.00023689420059243115,0.0007016431420977798
Attentive CNP + PE,m2,500,1,10,5.62904938623789,0.40693142242883984,1.2638340583038472,7.264529642043412,0.6626540078883584,1.761524497647624,23.650400596308316,0.7522935655179719,2.397677803708209,0.228747144565307,0.0005819756753887981,0.0015764591911262005,0.2024013864965914,0.00016578333658784838,0.0004743331459956812
Attentive CNP + PE,m2,1000,1,10,5.884261558735516,0.4615233287439942,1.3495310379442857,7.5590786018717555,0.8496485012997216,2.4643700803465043,23.17560569654834,0.961736580793753,2.855130133462989,0.22900270794970717,0.0007195337317878875,0.0020769325008478667,0.20236767285926877,0.0002209273160755439,0.0006678209308416394
Attentive CNP + PE,m2,2000,1,10,5.7589740369674285,0.1901708191190021,0.5663748779294959,7.248125267006181,0.2886924059910655,0.9458710482021688,23.434700467196066,0.4963240444228009,1.4926291097984645,0.22874010820914945,0.00025317791815115097,0.0008204700188633174,0.2022609177429012,0.00014814937927386745,0.0004931907802609992
Attentive CNP + PE,m2,250,2,10,4.912596418268279,0.3389783756242595,1.166170179214177,6.177319724723424,0.6068808364451449,1.7779741237646682,22.42082686836423,1.0698406651919394,2.9815666896970363,0.22856632064190618,0.0004080849738032337,0.0011502086574871895,0.20082739619356774,0.00047556153889769285,0.0014390129100626814
Attentive CNP + PE,m2,500,2,10,5.1495150355179495,0.4266653627000148,1.139685390833134,6.579022613101569,0.7207159927190546,2.0395964386809826,21.88484021979884,1.185024588050061,3.244265321632966,0.22874982581893363,0.0005074235051507227,0.001424622544469123,0.20084122879433436,0.00034376016001352264,0.0013042915997127924
Attentive CNP + PE,m2,1000,2,10,5.438747380491163,0.5688494730649606,1.6710488989252292,6.907219703460633,0.9190253640358617,2.573248698606707,20.959844993033443,1.3613326678154722,3.96148264116518,0.2290141714249149,0.0006877383785127348,0.001959960900513591,0.20054450336879368,0.0002658598719068854,0.0009088721726269455
Attentive CNP + PE,m2,2000,2,10,5.168688639656281,0.1941110845665409,0.566081140063293,6.527676276653199,0.3019887541134885,0.9036515974721757,21.823269505301816,0.6005690974712649,1.8845273033195582,0.22870045257630428,0.00019880730060427645,0.0005905447851116408,0.20058502253872268,0.00021865964155521331,0.0007983531142736477
Density-guided CNP (ours),ours,250,0,10,4.090396670110239,0.42531128730143675,1.4550082154751522,4.1541401248005405,0.08877103975483217,0.2886281622215048,11.894592910910323,3.500210877731315,11.74301598763335,0.22384868287311788,0.00015025094328228048,0.0005014281799651243,0.19004121396761542,0.0014645522768065862,0.004827293041938768
Density-guided CNP (ours),ours,500,0,10,3.9365991442161437,0.24162260277649023,0.7912350947533815,4.141455890283205,0.04972875385903425,0.146526856046874,12.442172135896282,4.861843363833498,17.12478280797605,0.22385313951262434,0.00010961366030863143,0.0003893293268058817,0.19054439273752327,0.002444882984346653,0.008814968232558923
