method,architecture_id,context_size,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_training_seed,mc_passes_per_cell
CNP,m0,500,656.0,0.4350688906311988,0.015455619273334725,0.0024011268448859272,3,10,50
CNP,m0,500,657.0,0.43512780872980744,0.020107046128512884,0.002469186502666996,3,10,50
CNP,m0,500,658.0,0.43720589782794317,0.020522682192216674,0.0023843416357652355,3,10,50
CNP,m0,500,659.0,0.43318780036767324,0.023778574741279663,0.002351583507131678,3,10,50
CNP,m0,500,660.0,0.4356704605023067,0.017446898473224632,0.002421022172406673,3,10,50
CNP,m0,500,661.0,0.43602333629131323,0.016099722627322496,0.002335392674741184,3,10,50
CNP,m0,500,662.0,0.4352993494669597,0.021110829272554792,0.0023310652964561563,3,10,50
CNP,m0,500,663.0,0.43734726270039875,0.019301715838976972,0.0024188347984350537,3,10,50
CNP,m0,500,664.0,0.4365812292099,0.023334993938773432,0.002402586485242643,3,10,50
CNP,m0,500,665.0,0.44052564632892605,0.02390822757350017,0.0022638452659347118,3,10,50
CNP,m0,500,666.0,0.4407417683402697,0.018489781177034436,0.0023878267166197883,3,10,50
CNP,m0,500,667.0,0.4385323077837626,0.016669866572655824,0.0023514945527734078,3,10,50
CNP,m0,500,668.0,0.43875995765129727,0.017118011682938385,0.0023686595781078203,3,10,50
CNP,m0,500,669.0,0.4381254805127779,0.01823303647214661,0.002475634891381149,3,10,50
CNP,m0,500,670.0,0.4364453368186951,0.0173046996607123,0.002333848095780361,3,10,50
CNP,m0,500,671.0,0.4369721154570579,0.01873061504707287,0.0023910514639680414,3,10,50
CNP,m0,500,672.0,0.4416743492881457,0.01740843791435083,0.0023141607150128254,3,10,50
CNP,m0,500,673.0,0.43935999649763113,0.02314645144152994,0.002396515009263991,3,10,50
CNP,m0,500,674.0,0.43561610128482187,0.013687236147679116,0.002424023407389973,3,10,50
CNP,m0,500,675.0,0.44694146066904067,0.012866037867416646,0.0023658565694135623,3,10,50
CNP,m0,500,676.0,0.4375095032254855,0.025748850443002538,0.0024057609880983213,3,10,50
CNP,m0,500,677.0,0.43649413615465166,0.019159897863105336,0.0024152238473135208,3,10,50
CNP,m0,500,678.0,0.4421856552362442,0.014911737563752931,0.0023668883629276577,3,10,50
CNP,m0,500,679.0,0.4393263666431109,0.015370794366687467,0.0024871716424371497,3,10,50
CNP,m0,500,680.0,0.4399941444794337,0.01556297556519221,0.002419164490912946,3,10,50
CNP,m0,500,681.0,0.4398576402068137,0.018596733759073395,0.0023891192877560953,3,10,50
CNP,m0,500,682.0,0.44169840218623485,0.02278708176341162,0.0022620905927694264,3,10,50
CNP,m0,500,683.0,0.4438097530603409,0.018321250903781294,0.002319095325150239,3,10,50
CNP,m0,500,684.0,0.44885908279816306,0.013903295044793484,0.0023789600600737392,3,10,50
CNP,m0,500,685.0,0.44072591036558145,0.019059753525734056,0.002372290130840483,3,10,50
CNP,m0,500,686.0,0.4409872592091561,0.01631714838283326,0.0023548913836079987,3,10,50
CNP,m0,500,687.0,0.4435673444867134,0.01727574820100196,0.002307649792647954,3,10,50
CNP,m0,500,688.0,0.43790040977795913,0.02127748754185141,0.0024409610451267823,3,10,50
CNP,m0,500,689.0,0.44459716484944023,0.014145215949046315,0.002452237180001185,3,10,50
CNP,m0,500,690.0,0.44394645680983863,0.01670299982724488,0.0023447622901614385,3,10,50
CNP,m0,500,691.0,0.44658892552057905,0.01807575592076633,0.0023303317152018454,3,10,50
CNP,m0,500,692.0,0.4462229405244192,0.017061081223248856,0.002310332984434345,3,10,50
CNP,m0,500,693.0,0.44247603271404895,0.01987567750896724,0.0023572266535994584,3,10,50
CNP,m0,500,694.0,0.4457428937355678,0.018595868301646234,0.002373349677552204,3,10,50
CNP,m0,500,695.0,0.44587528757254286,0.020438496327603754,0.0023673224713633965,3,10,50
CNP,m0,500,696.0,0.451099820335706,0.018003509491521567,0.0023022908619674716,3,10,50
CNP,m0,500,697.0,0.4479661625027657,0.01525561208044893,0.002382381927981366,3,10,50
CNP,m0,500,698.0,0.44961537235975263,0.01714319982024409,0.0023526611322630263,3,10,50
CNP,m0,500,699.0,0.447880080640316,0.02090482461359416,0.0023731658495197965,3,10,50
CNP,m0,500,700.0,0.44423786262671155,0.016299214074701186,0.0023919743101094106,3,10,50
