model,model_id,training_seed,context_seed,dropout_seed,region,n_events,brier,log_loss
Cell 15 v5,v5,0,103,10100,continuum_2200_2400,152,0.2509083534354249,0.6950104189620083
Cell 15 v5,v5,0,103,10100,FE,167,0.18587483731808793,0.5622952094011988
Cell 15 v5,v5,0,103,10100,equal_region_mean,,0.23461278340419817,
Cell 15 v5,v5,0,104,10100,full,2074,0.22575858202125101,0.6439291594755642
Cell 15 v5,v5,0,104,10100,Bi-214,21,0.28057774230715743,0.786086023227673
Cell 15 v5,v5,0,104,10100,continuum_1700_2000,154,0.2506681913210959,0.6944890633811783
Cell 15 v5,v5,0,104,10100,SE,36,0.20527804617734305,0.6035916933447711
Cell 15 v5,v5,0,104,10100,continuum_2200_2400,152,0.250789564032568,0.6947681339174124
Cell 15 v5,v5,0,104,10100,FE,167,0.18548586378528137,0.5607523506557152
Cell 15 v5,v5,0,104,10100,equal_region_mean,,0.23455988152468915,
Cell 15 v5,v5,0,105,10100,full,2074,0.22591762040936858,0.6443423019805999
Cell 15 v5,v5,0,105,10100,Bi-214,21,0.2804740023714494,0.7856976390162913
Cell 15 v5,v5,0,105,10100,continuum_1700_2000,154,0.250766636038608,0.6946861016664931
Cell 15 v5,v5,0,105,10100,SE,36,0.20572193387428703,0.6039623375587104
Cell 15 v5,v5,0,105,10100,continuum_2200_2400,152,0.2508458016662617,0.6948806100345907
Cell 15 v5,v5,0,105,10100,FE,167,0.18563709407479573,0.5613350250991456
Cell 15 v5,v5,0,105,10100,equal_region_mean,,0.23468909360508036,
Cell 15 v5,v5,0,106,10100,full,2074,0.22583354480617032,0.6441519165386504
Cell 15 v5,v5,0,106,10100,Bi-214,21,0.28024271587609373,0.7849531412821475
Cell 15 v5,v5,0,106,10100,continuum_1700_2000,154,0.25084186140142634,0.694836891444361
Cell 15 v5,v5,0,106,10100,SE,36,0.20611286534919449,0.6046702832807186
Cell 15 v5,v5,0,106,10100,continuum_2200_2400,152,0.25083084466995004,0.6948482380135976
Cell 15 v5,v5,0,106,10100,FE,167,0.1857183079512557,0.561648738354895
Cell 15 v5,v5,0,106,10100,equal_region_mean,,0.23474931904958404,
Cell 15 v5,v5,0,107,10100,full,2074,0.2257168698995253,0.6439309778378214
Cell 15 v5,v5,0,107,10100,Bi-214,21,0.28026021926167693,0.7850517158342223
Cell 15 v5,v5,0,107,10100,continuum_1700_2000,154,0.2506278441852326,0.6944085312722442
Cell 15 v5,v5,0,107,10100,SE,36,0.20510360762189536,0.6033111434136578
Cell 15 v5,v5,0,107,10100,continuum_2200_2400,152,0.25093084517695063,0.6950585505238704
Cell 15 v5,v5,0,107,10100,FE,167,0.18597597476754976,0.5626825759955009
Cell 15 v5,v5,0,107,10100,equal_region_mean,,0.23457969820266106,
