variant,method,context_size,energy_kev,mean_across_contexts,sd_across_overlapping_contexts
context_only,Gaussian kernel regression (context only),500,731.0,0.3489346861839294,0.042311811478262684
context_only,Gaussian kernel regression (context only),500,732.0,0.3489894777536392,0.04245185895497449
context_only,Gaussian kernel regression (context only),500,733.0,0.3490448325872421,0.04259329722324114
context_only,Gaussian kernel regression (context only),500,734.0,0.3491007924079895,0.04273606723367179
context_only,Gaussian kernel regression (context only),500,735.0,0.349157378077507,0.042880091555012455
context_only,Gaussian kernel regression (context only),500,736.0,0.34921464920043943,0.043025315690134125
context_only,Gaussian kernel regression (context only),500,737.0,0.3492726147174835,0.0431716511406373
context_only,Gaussian kernel regression (context only),500,738.0,0.349331334233284,0.043319038423035666
context_only,Gaussian kernel regression (context only),500,739.0,0.3493908286094666,0.043467405127239414
context_only,Gaussian kernel regression (context only),500,740.0,0.3494511336088181,0.04361667883670361
context_only,Gaussian kernel regression (context only),500,741.0,0.34951230585575105,0.043766785437147966
context_only,Gaussian kernel regression (context only),500,742.0,0.34957437217235565,0.04391765811328175
context_only,Gaussian kernel regression (context only),500,743.0,0.349637371301651,0.04406920093399397
context_only,Gaussian kernel regression (context only),500,744.0,0.34970135390758517,0.044221355337289214
context_only,Gaussian kernel regression (context only),500,745.0,0.349766343832016,0.04437404565708095
context_only,Gaussian kernel regression (context only),500,746.0,0.3498324066400528,0.044527188265799954
context_only,Gaussian kernel regression (context only),500,747.0,0.34989956617355344,0.04468071912064383
context_only,Gaussian kernel regression (context only),500,748.0,0.3499678701162338,0.04483454707144783
context_only,Gaussian kernel regression (context only),500,749.0,0.3500373661518097,0.044988608969537165
context_only,Gaussian kernel regression (context only),500,750.0,0.35010809302330015,0.04514282548010304
context_only,Gaussian kernel regression (context only),500,751.0,0.3501800984144211,0.04529711115700319
context_only,Gaussian kernel regression (context only),500,752.0,0.3502534359693527,0.04545139520005355
context_only,Gaussian kernel regression (context only),500,753.0,0.350328129529953,0.045605606462556535
context_only,Gaussian kernel regression (context only),500,754.0,0.3504042446613312,0.04575966351238098
context_only,Gaussian kernel regression (context only),500,755.0,0.35048182010650636,0.045913483402293585
context_only,Gaussian kernel regression (context only),500,756.0,0.3505608975887299,0.0460670094419127
context_only,Gaussian kernel regression (context only),500,757.0,0.350641542673111,0.04622015351217901
context_only,Gaussian kernel regression (context only),500,758.0,0.35072378516197206,0.04637284071187214
context_only,Gaussian kernel regression (context only),500,759.0,0.35080768167972565,0.04652500320035737
context_only,Gaussian kernel regression (context only),500,760.0,0.3508932858705521,0.04667656506685439
context_only,Gaussian kernel regression (context only),500,761.0,0.3509806305170059,0.04682745546014008
context_only,Gaussian kernel regression (context only),500,762.0,0.351069775223732,0.04697759162222197
context_only,Gaussian kernel regression (context only),500,763.0,0.35116077661514283,0.04712691979917175
context_only,Gaussian kernel regression (context only),500,764.0,0.35125366449356077,0.047275360817904746
context_only,Gaussian kernel regression (context only),500,765.0,0.3513485074043274,0.04742284067278608
context_only,Gaussian kernel regression (context only),500,766.0,0.3514453560113907,0.04756930108874499
context_only,Gaussian kernel regression (context only),500,767.0,0.3515442401170731,0.04771466929475844
context_only,Gaussian kernel regression (context only),500,768.0,0.35164523124694824,0.047858886088534086
context_only,Gaussian kernel regression (context only),500,769.0,0.35174837410449983,0.048001872185748945
