method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Attentive CNP + PE,m2,2,108,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-19.978632337749474,5.568525995388879
Attentive CNP + PE,m2,2,108,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.386697384702842,10.086450875692353
Attentive CNP + PE,m2,2,108,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.812108881361203,5.295721476368651
Attentive CNP + PE,m2,2,109,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.8319069331775,4.186750404820172
Attentive CNP + PE,m2,2,109,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.216281861334384,5.330876471803969
Attentive CNP + PE,m2,2,109,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.515508171033982,9.957640089361217
Attentive CNP + PE,m2,2,109,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.883629397927412,5.36724199293486
Density-guided CNP (ours),cell17,0,100,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.41540721071755,1.6032501272801203
Density-guided CNP (ours),cell17,0,100,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-24.072963122428554,1.4741952107098
Density-guided CNP (ours),cell17,0,100,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.268711213271246,5.204437047123952
Density-guided CNP (ours),cell17,0,100,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.062305066203638404,2.4213075288038093
Density-guided CNP (ours),cell17,0,101,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.50477721251319,1.5138801254844791
Density-guided CNP (ours),cell17,0,101,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-23.929724343087873,1.617433990050482
Density-guided CNP (ours),cell17,0,101,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.373517252683026,5.099631007712172
Density-guided CNP (ours),cell17,0,101,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.27146597586225896,2.212146619145189
Density-guided CNP (ours),cell17,0,102,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.43249859573425,1.5861587422634216
Density-guided CNP (ours),cell17,0,102,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-24.056513695207805,1.4906446379305494
Density-guided CNP (ours),cell17,0,102,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.333032680273735,5.140115580121463
Density-guided CNP (ours),cell17,0,102,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4547918654276478,2.0288207295797998
Density-guided CNP (ours),cell17,0,103,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.419551526404977,1.5991058115926937
Density-guided CNP (ours),cell17,0,103,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-24.084964948814513,1.46219338432384
Density-guided CNP (ours),cell17,0,103,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.30096469687582,5.172183563519378
Density-guided CNP (ours),cell17,0,103,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.17960742930484552,2.3040051657026024
Density-guided CNP (ours),cell17,0,104,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.677665593120885,1.340991744876785
Density-guided CNP (ours),cell17,0,104,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-23.523214849687708,2.0239434834506467
Density-guided CNP (ours),cell17,0,104,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.29644104035365,5.176707220041549
Density-guided CNP (ours),cell17,0,104,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.24405156865839606,2.239561026349052
Density-guided CNP (ours),cell17,0,105,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.468897715124644,1.549759622873026
