subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,scope,histogram_bin,pull_lower,pull_upper,count,total_cell_bin_observations,cell_count
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,14,-3.0,-2.5,275,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,15,-2.5,-2.0,423,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,16,-2.0,-1.5,636,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,17,-1.5,-1.0,1048,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,18,-1.0,-0.5,985,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,19,-0.5,0.0,692,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,20,0.0,0.5,791,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,21,0.5,1.0,746,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,22,1.0,1.5,462,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,23,1.5,2.0,356,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,24,2.0,2.5,136,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,25,2.5,3.0,79,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,26,3.0,3.5,42,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,27,3.5,4.0,50,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,28,4.0,4.5,10,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,29,4.5,5.0,10,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,30,5.0,5.5,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,31,5.5,6.0,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,32,6.0,6.5,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,33,6.5,7.0,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,34,7.0,7.5,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,35,7.5,8.0,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,36,8.0,8.5,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,37,8.5,9.0,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,38,9.0,9.5,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,39,9.5,10.0,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,overflow,10.0,,30,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,underflow,,-10.0,326,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,0,-10.0,-9.5,92,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,1,-9.5,-9.0,126,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,2,-9.0,-8.5,114,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,3,-8.5,-8.0,132,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,4,-8.0,-7.5,165,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,5,-7.5,-7.0,189,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,6,-7.0,-6.5,209,13260,30
