row_type,five_k_subset_id,ten_k_subset_id,ten_k_comparator,training_seed,context_seed,region,threshold_k,five_k_ours_coverage_percent,ten_k_comparator_coverage_percent,difference_percentage_points,comparison,five_k_run_id,ten_k_run_id,five_k_source_sha256,ten_k_source_sha256,paired_cell_count,mean_difference_percentage_points,difference_sd_percentage_points,win_count,tie_count,loss_count,pairing_note
paired_cell,original_n5000,original_n10000,CNP,0,105,peak_equal_feature,3,75.0,37.5,37.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,e9d60fe90b62cbcddca05fa1951a722661fbe3e88a5eb51c184a3e5b520812d3,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,105,continuum_equal_window,1,54.58333333333333,43.75,10.833333333333329,win,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,e9d60fe90b62cbcddca05fa1951a722661fbe3e88a5eb51c184a3e5b520812d3,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,105,continuum_equal_window,2,90.41666666666666,80.83333333333334,9.583333333333314,win,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,e9d60fe90b62cbcddca05fa1951a722661fbe3e88a5eb51c184a3e5b520812d3,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,105,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,e9d60fe90b62cbcddca05fa1951a722661fbe3e88a5eb51c184a3e5b520812d3,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,106,peak_equal_feature,1,0.0,0.0,0.0,tie,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,311397c160208c5fcbc08f1d8b270002327db651926dd42e4268d17de81e7b50,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,106,peak_equal_feature,2,37.5,37.5,0.0,tie,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,311397c160208c5fcbc08f1d8b270002327db651926dd42e4268d17de81e7b50,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,106,peak_equal_feature,3,62.5,37.5,25.0,win,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,311397c160208c5fcbc08f1d8b270002327db651926dd42e4268d17de81e7b50,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,106,continuum_equal_window,1,54.58333333333333,42.5,12.083333333333329,win,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,311397c160208c5fcbc08f1d8b270002327db651926dd42e4268d17de81e7b50,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,106,continuum_equal_window,2,90.41666666666666,77.91666666666666,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,311397c160208c5fcbc08f1d8b270002327db651926dd42e4268d17de81e7b50,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,106,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s106-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,f33b69f3c2aff2e1923ab0efcdf6f6791ebf6f43106e01caaca5e918f5f70487,311397c160208c5fcbc08f1d8b270002327db651926dd42e4268d17de81e7b50,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,107,peak_equal_feature,1,12.5,12.5,0.0,tie,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,57a0d530691ef28d3f962a8fbaa1aa8cad37f36575f2492291f30d7ae8eadcf2,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,107,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,57a0d530691ef28d3f962a8fbaa1aa8cad37f36575f2492291f30d7ae8eadcf2,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,107,peak_equal_feature,3,62.5,37.5,25.0,win,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,57a0d530691ef28d3f962a8fbaa1aa8cad37f36575f2492291f30d7ae8eadcf2,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,107,continuum_equal_window,1,56.66666666666667,41.66666666666667,15.0,win,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,57a0d530691ef28d3f962a8fbaa1aa8cad37f36575f2492291f30d7ae8eadcf2,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,107,continuum_equal_window,2,89.58333333333334,80.83333333333334,8.75,win,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,57a0d530691ef28d3f962a8fbaa1aa8cad37f36575f2492291f30d7ae8eadcf2,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,107,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s107-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,417ac6563fbacc5e4a0574e3dfa26ccf2d64af70f308d7ea5675e755cc21eacd,57a0d530691ef28d3f962a8fbaa1aa8cad37f36575f2492291f30d7ae8eadcf2,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,108,peak_equal_feature,1,12.5,25.0,-12.5,loss,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,569f07db668112f4b8d0fedb54982f427cfb30c649a448e35eafcaeebf96a02c,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,108,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,569f07db668112f4b8d0fedb54982f427cfb30c649a448e35eafcaeebf96a02c,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,108,peak_equal_feature,3,62.5,25.0,37.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,569f07db668112f4b8d0fedb54982f427cfb30c649a448e35eafcaeebf96a02c,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,108,continuum_equal_window,1,56.66666666666667,44.16666666666667,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,569f07db668112f4b8d0fedb54982f427cfb30c649a448e35eafcaeebf96a02c,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,108,continuum_equal_window,2,90.41666666666666,80.83333333333334,9.583333333333314,win,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,569f07db668112f4b8d0fedb54982f427cfb30c649a448e35eafcaeebf96a02c,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,108,continuum_equal_window,3,99.16666666666666,95.0,4.166666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s108-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e546d6e7651b4ef5808e5f609f55c53812dcfb757064fe11172b729795897be,569f07db668112f4b8d0fedb54982f427cfb30c649a448e35eafcaeebf96a02c,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,109,peak_equal_feature,1,0.0,12.5,-12.5,loss,20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,173a5590e85235fa476708d364a2b7597e57471a292fa96d2c84891520729dbc,484080637d87f68ee4f7c4e427e376d47c75e6c42059eb9631ee1c839e27fb19,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,109,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,173a5590e85235fa476708d364a2b7597e57471a292fa96d2c84891520729dbc,484080637d87f68ee4f7c4e427e376d47c75e6c42059eb9631ee1c839e27fb19,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,109,peak_equal_feature,3,62.5,37.5,25.0,win,20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,173a5590e85235fa476708d364a2b7597e57471a292fa96d2c84891520729dbc,484080637d87f68ee4f7c4e427e376d47c75e6c42059eb9631ee1c839e27fb19,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,109,continuum_equal_window,1,55.83333333333333,42.5,13.333333333333329,win,20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,173a5590e85235fa476708d364a2b7597e57471a292fa96d2c84891520729dbc,484080637d87f68ee4f7c4e427e376d47c75e6c42059eb9631ee1c839e27fb19,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,109,continuum_equal_window,2,90.41666666666666,74.16666666666666,16.25,win,20260909-phase2-b5000-ours-seed0-final-ctx-s109-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,173a5590e85235fa476708d364a2b7597e57471a292fa96d2c84891520729dbc,484080637d87f68ee4f7c4e427e376d47c75e6c42059eb9631ee1c839e27fb19,,,,,,,
