summary_level,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,region,cell_count,initialization_seed_count,context_seed_count_per_initialization,aggregation,source_event_prediction_hash_set_sha256,source_curve_hash_set_sha256,C1_percent_mean,C1_percent_mean_context_sd_within_seed,C1_percent_initialization_sd_across_seed_means,C1_percent_training_subset_sd_across_subset_means,C1_percent_training_subset_min,C1_percent_training_subset_max,C1_percent_training_subset_range,C2_percent_mean,C2_percent_mean_context_sd_within_seed,C2_percent_initialization_sd_across_seed_means,C2_percent_training_subset_sd_across_subset_means,C2_percent_training_subset_min,C2_percent_training_subset_max,C2_percent_training_subset_range,C3_percent_mean,C3_percent_mean_context_sd_within_seed,C3_percent_initialization_sd_across_seed_means,C3_percent_training_subset_sd_across_subset_means,C3_percent_training_subset_min,C3_percent_training_subset_max,C3_percent_training_subset_range,training_subset_count
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,feature_1620_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,3.3333333333333335,10.540925533894598,2.886751345948129,,,,,16.666666666666668,17.21325931647741,15.275252316519467,,,,,25.0,13.877092425186001,22.9128784747792,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,continuum_1700_2000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,7.611111111111111,2.3724877531871122,2.219442706159797,,,,,19.61111111111111,2.4828436139752363,2.699451247390298,,,,,30.88888888888889,2.7562850975018005,0.48112522432468746,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,continuum_2200_2400,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,18.583333333333332,3.9835344828359838,0.9464847243000456,,,,,32.75,2.677566891439042,3.43693177121688,,,,,43.416666666666664,3.3007006756791792,4.543768626738529,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,overall_500_3000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,24.67571644042232,1.9520180264751297,1.8486161233457588,,,,,46.58371040723981,1.381147086024024,1.8430236972322414,,,,,62.84313725490196,1.135361989678922,3.6789120562577304,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,figure1_1500_3000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,25.771349862258955,2.8861770322145595,1.186413459099111,,,,,47.947658402203864,2.2061432457069485,4.528392721659345,,,,,64.00826446280992,1.9565857195970489,7.166294838261933,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,FE_2614_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,SE_2103_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,25.0,13.877092425186001,22.9128784747792,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,DEP_1592_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,0.0,0.0,0.0,,,,,11.666666666666666,8.050764858994134,20.207259421636902,,,,,33.333333333333336,0.0,28.86751345948129,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,feature_1620_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,18.333333333333332,21.790068162403813,20.207259421636902,,,,,41.666666666666664,28.958232263285492,32.53203549323856,,,,,61.666666666666664,33.02542413127058,38.18813079129867,,,,,
training_subset,original_n2000,original,2k,2000,1895,Density-guided CNP,ours,matched_neural,continuum_1700_2000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,fcbf3e7750e1e64dc5a6d7cfd51e71d80e3cf3b3ce1da69ce74b47a7fb441682,06a1f18dd2984f20effdf9832d64b44e34e6b4406c60013f624dc96340be9d09,20.944444444444443,1.6918004061491974,3.3761143564974434,,,,,41.0,2.985480756609786,6.273843408239569,,,,,57.27777777777777,3.7781697460753816,8.759650762529377,,,,,
