variant,method,context_size,context_seed,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
context_only,Gaussian kernel regression (context only),500,102,SE,6,0,2023,10.175739514553507,14.846998470811096
context_only,Gaussian kernel regression (context only),500,102,continuum_2200_2400,40,0,9093,4.438415497098066,5.594305919247658
context_only,Gaussian kernel regression (context only),500,102,FE,5,1,8709,9.63190631883947,9.950728736070747
context_only,Gaussian kernel regression (context only),500,102,sparse_tail,13,47,68,9.695693177918335,9.855592483300628
context_only,Gaussian kernel regression (context only),500,103,full,442,58,114299,7.7900819865425035,9.748441973871563
context_only,Gaussian kernel regression (context only),500,103,DEP,6,0,1323,12.680321976486475,15.84909080729687
context_only,Gaussian kernel regression (context only),500,103,Bi-214,6,0,1361,11.35151486015431,12.019985558968749
context_only,Gaussian kernel regression (context only),500,103,continuum_1700_2000,60,0,8230,4.1985408396507315,5.447377241604589
context_only,Gaussian kernel regression (context only),500,103,SE,6,0,2023,18.391764418894894,21.376221897817242
context_only,Gaussian kernel regression (context only),500,103,continuum_2200_2400,40,0,9093,3.9593086431078244,4.775183917219387
context_only,Gaussian kernel regression (context only),500,103,FE,5,1,8709,2.2138429523522425,2.6680757389350376
context_only,Gaussian kernel regression (context only),500,103,sparse_tail,13,47,68,21.732102029001318,22.61620427135498
context_only,Gaussian kernel regression (context only),500,104,full,442,58,114299,9.44883845907954,11.540380939901155
context_only,Gaussian kernel regression (context only),500,104,DEP,6,0,1323,13.563152163908807,14.12656211298359
context_only,Gaussian kernel regression (context only),500,104,Bi-214,6,0,1361,19.38700558186229,22.721503559797522
context_only,Gaussian kernel regression (context only),500,104,continuum_1700_2000,60,0,8230,6.238066910958839,7.32560120903931
context_only,Gaussian kernel regression (context only),500,104,SE,6,0,2023,8.354054541467464,12.264731512753633
context_only,Gaussian kernel regression (context only),500,104,continuum_2200_2400,40,0,9093,10.426788390471982,11.217374168023813
context_only,Gaussian kernel regression (context only),500,104,FE,5,1,8709,2.2088246323808836,2.6950376297981946
context_only,Gaussian kernel regression (context only),500,104,sparse_tail,13,47,68,18.615617184863165,19.48642444422876
context_only,Gaussian kernel regression (context only),500,105,full,442,58,114299,7.5491663097009445,10.040281737226577
context_only,Gaussian kernel regression (context only),500,105,DEP,6,0,1323,9.337884329698753,13.204066626946142
context_only,Gaussian kernel regression (context only),500,105,Bi-214,6,0,1361,10.172681260932443,11.891594807524875
context_only,Gaussian kernel regression (context only),500,105,continuum_1700_2000,60,0,8230,5.227667623997689,5.902376310644631
context_only,Gaussian kernel regression (context only),500,105,SE,6,0,2023,10.416756125014636,15.014533411892685
context_only,Gaussian kernel regression (context only),500,105,continuum_2200_2400,40,0,9093,3.3301089037770035,4.119419772959153
context_only,Gaussian kernel regression (context only),500,105,FE,5,1,8709,9.252083410915276,9.614831567800882
context_only,Gaussian kernel regression (context only),500,105,sparse_tail,13,47,68,30.074461526837254,30.730868605155326
context_only,Gaussian kernel regression (context only),500,106,full,442,58,114299,6.274982322893,8.261266124979064
context_only,Gaussian kernel regression (context only),500,106,DEP,6,0,1323,6.758138539409569,10.532709699439614
context_only,Gaussian kernel regression (context only),500,106,Bi-214,6,0,1361,9.102334512825026,12.73685779981773
context_only,Gaussian kernel regression (context only),500,106,continuum_1700_2000,60,0,8230,6.264748602233032,7.693707499572755
context_only,Gaussian kernel regression (context only),500,106,SE,6,0,2023,13.023259411336285,16.9989252264016
context_only,Gaussian kernel regression (context only),500,106,continuum_2200_2400,40,0,9093,3.5727906597683505,4.357741841418884
context_only,Gaussian kernel regression (context only),500,106,FE,5,1,8709,2.3994490183023807,2.969867625428858
context_only,Gaussian kernel regression (context only),500,106,sparse_tail,13,47,68,18.19798188168827,19.209433875250955
context_only,Gaussian kernel regression (context only),500,107,full,442,58,114299,8.283864956598414,10.334617281626825
context_only,Gaussian kernel regression (context only),500,107,DEP,6,0,1323,10.825843732527018,11.51391762519395
context_only,Gaussian kernel regression (context only),500,107,Bi-214,6,0,1361,14.921921584679918,19.045235978957297
context_only,Gaussian kernel regression (context only),500,107,continuum_1700_2000,60,0,8230,6.641365240422266,7.618541871986041
context_only,Gaussian kernel regression (context only),500,107,SE,6,0,2023,8.844468330948503,12.812640720301843
context_only,Gaussian kernel regression (context only),500,107,continuum_2200_2400,40,0,9093,11.437126455184316,12.217860831565629
context_only,Gaussian kernel regression (context only),500,107,FE,5,1,8709,3.495952081218723,4.274311584022114
context_only,Gaussian kernel regression (context only),500,107,sparse_tail,13,47,68,23.204855645523534,24.040947249053033
context_only,Gaussian kernel regression (context only),500,108,full,442,58,114299,6.877448458467166,8.649609420607291
context_only,Gaussian kernel regression (context only),500,108,DEP,6,0,1323,8.466569359651306,12.225313088392443
context_only,Gaussian kernel regression (context only),500,108,Bi-214,6,0,1361,10.39873276942264,11.854813420024861
context_only,Gaussian kernel regression (context only),500,108,continuum_1700_2000,60,0,8230,7.039743401097567,8.76747248013282
context_only,Gaussian kernel regression (context only),500,108,SE,6,0,2023,8.510134308152173,12.243258234186305
context_only,Gaussian kernel regression (context only),500,108,continuum_2200_2400,40,0,9093,10.648527827744084,11.377350394034478
context_only,Gaussian kernel regression (context only),500,108,FE,5,1,8709,3.059510793601996,3.672529441655276
context_only,Gaussian kernel regression (context only),500,108,sparse_tail,13,47,68,14.07010284518046,15.224537665629848
context_only,Gaussian kernel regression (context only),500,109,full,442,58,114299,7.7404796480857785,9.998483432597084
context_only,Gaussian kernel regression (context only),500,109,DEP,6,0,1323,8.935801071518434,12.697491484358995
context_only,Gaussian kernel regression (context only),500,109,Bi-214,6,0,1361,10.561604218273253,11.853529163163955
context_only,Gaussian kernel regression (context only),500,109,continuum_1700_2000,60,0,8230,6.0287057220134255,7.223346174819087
context_only,Gaussian kernel regression (context only),500,109,SE,6,0,2023,13.91645956581407,17.621293184311945
context_only,Gaussian kernel regression (context only),500,109,continuum_2200_2400,40,0,9093,3.797724307306769,4.5929199632161435
context_only,Gaussian kernel regression (context only),500,109,FE,5,1,8709,2.6171760618002415,3.1906907314968267
context_only,Gaussian kernel regression (context only),500,109,sparse_tail,13,47,68,19.405245789626917,20.39010065836862
context_only,Gaussian kernel regression (context only),1000,100,full,442,58,114299,8.475943242788873,10.406259179326696
context_only,Gaussian kernel regression (context only),1000,100,DEP,6,0,1323,11.169265838010773,14.630593726639093
context_only,Gaussian kernel regression (context only),1000,100,Bi-214,6,0,1361,10.740962771187291,11.843237139430657
context_only,Gaussian kernel regression (context only),1000,100,continuum_1700_2000,60,0,8230,7.054045898993373,8.489940921196885
context_only,Gaussian kernel regression (context only),1000,100,SE,6,0,2023,8.307941274171256,12.287747960309973
context_only,Gaussian kernel regression (context only),1000,100,continuum_2200_2400,40,0,9093,3.89876604314496,4.718945401057388
context_only,Gaussian kernel regression (context only),1000,100,FE,5,1,8709,4.899394695068848,5.535188011945323
context_only,Gaussian kernel regression (context only),1000,100,sparse_tail,13,47,68,22.407811066843124,23.634225845203797
context_only,Gaussian kernel regression (context only),1000,101,full,442,58,114299,8.940165849450628,10.665543402353562
context_only,Gaussian kernel regression (context only),1000,101,DEP,6,0,1323,7.2238149059015715,11.167503291998568
context_only,Gaussian kernel regression (context only),1000,101,Bi-214,6,0,1361,9.42611897881578,12.36726055496431
context_only,Gaussian kernel regression (context only),1000,101,continuum_1700_2000,60,0,8230,4.841202786363371,6.83567949884964
context_only,Gaussian kernel regression (context only),1000,101,SE,6,0,2023,10.03372556842131,11.357528109421693
context_only,Gaussian kernel regression (context only),1000,101,continuum_2200_2400,40,0,9093,12.679404668875701,13.31395480142861
context_only,Gaussian kernel regression (context only),1000,101,FE,5,1,8709,3.437808997352347,4.127225340301355
context_only,Gaussian kernel regression (context only),1000,101,sparse_tail,13,47,68,14.50456223903823,15.304326556565428
context_only,Gaussian kernel regression (context only),1000,102,full,442,58,114299,7.080879779702166,8.737702168141519
context_only,Gaussian kernel regression (context only),1000,102,DEP,6,0,1323,7.100388178233576,10.98626495948705
context_only,Gaussian kernel regression (context only),1000,102,Bi-214,6,0,1361,9.320888989114907,12.490353267452727
context_only,Gaussian kernel regression (context only),1000,102,continuum_1700_2000,60,0,8230,4.459075633843149,5.708558597135083
context_only,Gaussian kernel regression (context only),1000,102,SE,6,0,2023,8.973596176459587,13.363653636192224
context_only,Gaussian kernel regression (context only),1000,102,continuum_2200_2400,40,0,9093,11.806702506036885,12.828302180324142
context_only,Gaussian kernel regression (context only),1000,102,FE,5,1,8709,11.429725719086878,11.711125593952648
context_only,Gaussian kernel regression (context only),1000,102,sparse_tail,13,47,68,9.522773178983808,9.653522531100558
context_only,Gaussian kernel regression (context only),1000,103,full,442,58,114299,6.931489071058862,8.977549728299683
context_only,Gaussian kernel regression (context only),1000,103,DEP,6,0,1323,7.572291500012489,11.560966549231297
