method,architecture_id,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Attentive CNP + PE,m2,2,103,250,new_evaluation,4.535844672956242,5.540885513902137,23.992449426222663,0.22819335182309292,0.20153865288159675,0.2935624001547694,460.484375,20260909-m2-seed2-final-ctx-s103-n250-drop10100-mc50
Attentive CNP + PE,m2,2,104,250,new_evaluation,4.864602447299812,6.039431979171295,22.66337669988056,0.22844005874653966,0.2008313031735638,0.292787098325789,460.484375,20260909-m2-seed2-final-ctx-s104-n250-drop10100-mc50
Attentive CNP + PE,m2,2,105,250,new_evaluation,4.7579916073255095,5.700350997910829,23.68526330302269,0.22822690650639924,0.20117919992632935,0.29785818001255393,460.484375,20260909-m2-seed2-final-ctx-s105-n250-drop10100-mc50
Attentive CNP + PE,m2,2,106,250,new_evaluation,5.265273834667404,6.808845245046369,21.479678479942095,0.22896537260604682,0.20060149701526273,0.29246575804427266,460.484375,20260909-m2-seed2-final-ctx-s106-n250-drop10100-mc50
Attentive CNP + PE,m2,2,107,250,new_evaluation,4.932000085198339,5.9063960062924785,22.637360924834702,0.22829687397262202,0.20058414529547294,0.2962489351630211,460.484375,20260909-m2-seed2-final-ctx-s107-n250-drop10100-mc50
Attentive CNP + PE,m2,2,108,250,new_evaluation,4.314909090698923,5.371477347999661,23.642362277450896,0.22818009554190188,0.20136761750990056,0.2966159312054515,460.484375,20260909-m2-seed2-final-ctx-s108-n250-drop10100-mc50
Attentive CNP + PE,m2,2,109,250,new_evaluation,5.4810792699131,7.149451471764329,21.820189010399055,0.22933030419938907,0.20121100157039468,0.29362704884260893,460.484375,20260909-m2-seed2-final-ctx-s109-n250-drop10100-mc50
Attentive CNP + PE,m2,2,100,500,new_evaluation,5.775888398239813,7.230702198254388,20.11819411243017,0.22918810238446352,0.20000797972079923,0.33260053489357233,821.63671875,20260909-m2-seed2-final-ctx-s100-n500-drop10100-mc50
Attentive CNP + PE,m2,2,101,500,new_evaluation,5.378782247548697,7.35937009889944,20.651005469094823,0.22928912781564473,0.2008207847872622,0.3308337517082691,821.63671875,20260909-m2-seed2-final-ctx-s101-n500-drop10100-mc50
Attentive CNP + PE,m2,2,102,500,new_evaluation,5.8049985171629945,7.801639806279856,20.21708239321468,0.2296081883371553,0.2007207762334091,0.3271545488387346,821.63671875,20260909-m2-seed2-final-ctx-s102-n500-drop10100-mc50
Attentive CNP + PE,m2,2,103,500,new_evaluation,4.66887024880649,5.762043367598873,23.056955932868945,0.22818356579268617,0.20104584631204286,0.33108502672985196,821.63671875,20260909-m2-seed2-final-ctx-s103-n500-drop10100-mc50
Attentive CNP + PE,m2,2,104,500,new_evaluation,4.913975540918514,6.156189144999136,22.61149832034574,0.22844161740795027,0.20096959006367596,0.3323426120914519,821.63671875,20260909-m2-seed2-final-ctx-s104-n500-drop10100-mc50
Attentive CNP + PE,m2,2,105,500,new_evaluation,4.91345041008789,5.991219262718027,23.362459434063137,0.22834027742761942,0.20131227132051202,0.33094912813976407,821.63671875,20260909-m2-seed2-final-ctx-s105-n500-drop10100-mc50
Attentive CNP + PE,m2,2,106,500,new_evaluation,5.276997523989274,6.83008993217048,21.684621819748973,0.22892236888292034,0.2008358361303695,0.32903051702305675,821.63671875,20260909-m2-seed2-final-ctx-s106-n500-drop10100-mc50
Attentive CNP + PE,m2,2,107,500,new_evaluation,4.774153712000855,5.900022991044429,22.836120452799815,0.22824724070039387,0.20095254299949022,0.33662828197702765,821.63671875,20260909-m2-seed2-final-ctx-s107-n500-drop10100-mc50
Attentive CNP + PE,m2,2,108,500,new_evaluation,4.665313126329861,5.960551916858287,22.2917161892768,0.22831698657940402,0.20070070096732265,0.3297166577540338,821.63671875,20260909-m2-seed2-final-ctx-s108-n500-drop10100-mc50
Attentive CNP + PE,m2,2,109,500,new_evaluation,5.322720630095108,6.798397412192777,22.018748074145282,0.22896078286109883,0.20104595940845976,0.33119733817875385,821.63671875,20260909-m2-seed2-final-ctx-s109-n500-drop10100-mc50
Attentive CNP + PE,m2,2,100,1000,new_evaluation,5.484331964014753,6.794438801277458,20.588104315794066,0.22887981526856047,0.20004507611354524,0.40737580694258213,1547.71435546875,20260909-m2-seed2-final-ctx-s100-n1000-drop10100-mc50
