window,window_weighting,supported_bin_count,target_events_in_supported_bins,continuum_RMSE_pp,continuum_bias_pp,continuum_centered_RMS_pp,continuum_pull_RMS,continuum_pull_mean,continuum_pull_centered_RMS,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,training_seed,context_seed,context_size,run_id,source_event_predictions_sha256,source_curve_sha256,headline_original_5k
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.12568768487244,1.7929051452603835,4.439387826605854,1.339288350576633,0.40082425757953677,1.1948162998144354,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,101,500,20260909-phase2-b2000-m0-seed1-final-ctx-s101-n500-drop10100-mc50,25694e091ffaae4742776e1678f85126d0017cba81242fd9a8689aa5e71280fa,ffafa69e19ab0a1fb5a88104bf21d60c7cd0b001e8a87869e241531ae3963a56,False
continuum_1700_2000,equal bins within this window,60,8230,6.073318834996807,3.530960436417025,4.941408712906135,1.4428329990153486,0.8322830651921008,1.1785889709487638,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,102,500,20260909-phase2-b2000-m0-seed1-final-ctx-s102-n500-drop10100-mc50,54cfeb84247eba880c9150f0c63bdff3e7192443db9983e6f6c92a5304a960ce,785913ecac643ba0abdc50c7aa06704b4f0e7cb7be428e3af0bf164f5015ee25,False
continuum_2200_2400,equal bins within this window,40,9093,3.8977651043348343,-0.29172049957753843,3.8868331529275304,1.2270131845629344,-0.13075949411534846,1.2200259463593273,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,102,500,20260909-phase2-b2000-m0-seed1-final-ctx-s102-n500-drop10100-mc50,54cfeb84247eba880c9150f0c63bdff3e7192443db9983e6f6c92a5304a960ce,785913ecac643ba0abdc50c7aa06704b4f0e7cb7be428e3af0bf164f5015ee25,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.1028312964518685,1.6196199684197432,4.445502897686674,1.3392774951702313,0.35076178553837617,1.1994864051401413,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,102,500,20260909-phase2-b2000-m0-seed1-final-ctx-s102-n500-drop10100-mc50,54cfeb84247eba880c9150f0c63bdff3e7192443db9983e6f6c92a5304a960ce,785913ecac643ba0abdc50c7aa06704b4f0e7cb7be428e3af0bf164f5015ee25,False
continuum_1700_2000,equal bins within this window,60,8230,6.106825394775897,3.5878493115817345,4.941725783535776,1.4507099606102223,0.8457520225220665,1.1786699734079706,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,103,500,20260909-phase2-b2000-m0-seed1-final-ctx-s103-n500-drop10100-mc50,27595d186bfe0b483aa41d86fb8d7dc57969b136e6254112afaa607a27a020b5,2721bfe74b2da736d30423d5d14859728cc36d7734d53f6b332a0067b93f2f54,False
continuum_2200_2400,equal bins within this window,40,9093,3.8609981393456394,0.2934268417674112,3.8498321158929634,1.1960990736378803,0.050938422979306106,1.19501392084853,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,103,500,20260909-phase2-b2000-m0-seed1-final-ctx-s103-n500-drop10100-mc50,27595d186bfe0b483aa41d86fb8d7dc57969b136e6254112afaa607a27a020b5,2721bfe74b2da736d30423d5d14859728cc36d7734d53f6b332a0067b93f2f54,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.108846397882318,1.940638076674573,4.429551954781836,1.3295135169999415,0.4483452227506863,1.1868700807660717,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,103,500,20260909-phase2-b2000-m0-seed1-final-ctx-s103-n500-drop10100-mc50,27595d186bfe0b483aa41d86fb8d7dc57969b136e6254112afaa607a27a020b5,2721bfe74b2da736d30423d5d14859728cc36d7734d53f6b332a0067b93f2f54,False
continuum_1700_2000,equal bins within this window,60,8230,5.998610453527559,3.400803980622033,4.94144307450318,1.4253464400762645,0.8015401651701951,1.1786203111507185,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,104,500,20260909-phase2-b2000-m0-seed1-final-ctx-s104-n500-drop10100-mc50,3ec5757dc928ed9ff0645ddf0da96910233af11c613a26d9b56e3648b08574dd,886fefa05942785acd4789d68d37d59a7cb29ce457abbefdd6d33797e2413bec,False
continuum_2200_2400,equal bins within this window,40,9093,3.858985235133884,-0.07279702760785711,3.858298541812541,1.2056241682439772,-0.06154525578888537,1.2040522482616203,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,104,500,20260909-phase2-b2000-m0-seed1-final-ctx-s104-n500-drop10100-mc50,3ec5757dc928ed9ff0645ddf0da96910233af11c613a26d9b56e3648b08574dd,886fefa05942785acd4789d68d37d59a7cb29ce457abbefdd6d33797e2413bec,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.043564930589842,1.664003476507088,4.4330760932059485,1.3200647918363821,0.36999745469065487,1.1914041410035636,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,104,500,20260909-phase2-b2000-m0-seed1-final-ctx-s104-n500-drop10100-mc50,3ec5757dc928ed9ff0645ddf0da96910233af11c613a26d9b56e3648b08574dd,886fefa05942785acd4789d68d37d59a7cb29ce457abbefdd6d33797e2413bec,False
