method,architecture_id,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_seed,mc_passes_per_cell
Attentive CNP + PE,m2,518.0,0.33583955126007403,0.026971773606251637,0.003039050188817835,3,10,50
Attentive CNP + PE,m2,519.0,0.31762908617655433,0.03164643632948142,0.002922294765876489,3,10,50
Attentive CNP + PE,m2,520.0,0.3210689598421256,0.02630532681497998,0.002675647006141547,3,10,50
Attentive CNP + PE,m2,521.0,0.3524385464191437,0.02806861458888,0.0029269864364198637,3,10,50
Attentive CNP + PE,m2,522.0,0.37111523220936454,0.015782639336588477,0.0035464039262581297,3,10,50
Attentive CNP + PE,m2,523.0,0.39557387659947074,0.011229868021111183,0.003366533553208684,3,10,50
Attentive CNP + PE,m2,524.0,0.4037703037261963,0.01629396133955509,0.0036073035167380582,3,10,50
Attentive CNP + PE,m2,525.0,0.38164665530125297,0.031960895585088266,0.0036169405404805695,3,10,50
Attentive CNP + PE,m2,526.0,0.37716831527153655,0.03631632356003273,0.0033501624364812173,3,10,50
Attentive CNP + PE,m2,527.0,0.35487235212326046,0.01842224428130131,0.003237911095766372,3,10,50
Attentive CNP + PE,m2,528.0,0.32849524966875715,0.008071301306268262,0.003056449733900486,3,10,50
Attentive CNP + PE,m2,529.0,0.32741062220931055,0.015013863479027296,0.002999980735756169,3,10,50
Attentive CNP + PE,m2,530.0,0.3424642692704995,0.026351572159459196,0.0032902214848554126,3,10,50
Attentive CNP + PE,m2,531.0,0.3446331287225088,0.02255900393757529,0.0036994104947446677,3,10,50
Attentive CNP + PE,m2,532.0,0.329843486815691,0.012946010337194551,0.0033540042680437377,3,10,50
Attentive CNP + PE,m2,533.0,0.3611975619395574,0.008119239041292473,0.0037388010326568234,3,10,50
Attentive CNP + PE,m2,534.0,0.3908503807584444,0.012258748238261246,0.003988495175082595,3,10,50
Attentive CNP + PE,m2,535.0,0.404543306072553,0.011992672930649498,0.003722551556154497,3,10,50
Attentive CNP + PE,m2,536.0,0.3920524661540985,0.015436242919979947,0.0040195145997289905,3,10,50
Attentive CNP + PE,m2,537.0,0.3632176303068797,0.01151947243422677,0.003882963267611877,3,10,50
Attentive CNP + PE,m2,538.0,0.32684831169247625,0.018559139233055157,0.0034729450532611037,3,10,50
Attentive CNP + PE,m2,539.0,0.3188695453008016,0.010221852634792871,0.003335072073334463,3,10,50
Attentive CNP + PE,m2,540.0,0.34686411776145293,0.015034983601669143,0.00291071910369557,3,10,50
Attentive CNP + PE,m2,541.0,0.37190117344260215,0.014749525234266089,0.003537276441644484,3,10,50
Attentive CNP + PE,m2,542.0,0.3787358647584915,0.010411622988502183,0.003704431134816831,3,10,50
Attentive CNP + PE,m2,543.0,0.37544340850909547,0.004336136053268614,0.0033877277217275424,3,10,50
Attentive CNP + PE,m2,544.0,0.35321197794874504,0.019273882083968713,0.0032269931565259854,3,10,50
Attentive CNP + PE,m2,545.0,0.32934257621566454,0.007407887119334047,0.0031871310320090384,3,10,50
Attentive CNP + PE,m2,546.0,0.31488422048091885,0.01941991320899169,0.0029757604972375823,3,10,50
Attentive CNP + PE,m2,547.0,0.2871449590524038,0.031540437479297204,0.002995043544205033,3,10,50
Attentive CNP + PE,m2,548.0,0.3077425258855025,0.019509356582071233,0.0033820387706083098,3,10,50
Attentive CNP + PE,m2,549.0,0.3431917170981566,0.02577112221012676,0.0034815372457526472,3,10,50
Attentive CNP + PE,m2,550.0,0.3478711955447992,0.0327916891342156,0.0038560631375368234,3,10,50
Attentive CNP + PE,m2,551.0,0.31598626374204947,0.03348490735223599,0.0037255323415173146,3,10,50
Attentive CNP + PE,m2,552.0,0.32076334138711293,0.022436454473329318,0.0038016657635512566,3,10,50
Attentive CNP + PE,m2,553.0,0.33882465422153474,0.023736595421501007,0.003973547448928236,3,10,50
Attentive CNP + PE,m2,554.0,0.35422983651359874,0.022843237094200854,0.004095128779528179,3,10,50
Attentive CNP + PE,m2,555.0,0.3374913069009781,0.009322783754586754,0.00348326461763449,3,10,50
Attentive CNP + PE,m2,556.0,0.31728541739781696,0.024730457778160696,0.003101346148377569,3,10,50
Attentive CNP + PE,m2,557.0,0.3164371310770511,0.006638023461736197,0.0033561103957868536,3,10,50
Attentive CNP + PE,m2,558.0,0.315979228725036,0.020292885664708653,0.0031900405454229606,3,10,50
Attentive CNP + PE,m2,559.0,0.34240424642960227,0.02748054246546797,0.0030385386015623615,3,10,50
