method,architecture_id,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,0,100,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028906675318518538,25.576065008456872
CNP,m0,0,100,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027211903847146335,28.500360164242345
CNP,m0,0,100,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41634133414851227,2.0672712608589356
CNP,m0,0,101,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029214728269910673,20.98944260972776
CNP,m0,0,101,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0287553743914426,25.575913707529796
CNP,m0,0,101,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02769912921436468,28.50084738960956
CNP,m0,0,101,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4147832837260029,2.068829311281445
CNP,m0,0,102,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02902542360656568,20.989631914391104
CNP,m0,0,102,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028902006704223382,25.576060339842577
CNP,m0,0,102,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027382125263852863,28.50053038565905
CNP,m0,0,102,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41583463426103917,2.0677779607464086
CNP,m0,0,103,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02938971177671723,20.989267626220954
CNP,m0,0,103,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02883762241208121,25.575995955550436
CNP,m0,0,103,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027618695910680557,28.500766956305878
CNP,m0,0,103,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.414536044116981,2.069076550890467
CNP,m0,0,104,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029013543398892505,20.989643794598777
CNP,m0,0,104,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028697767801932894,25.575856100940285
CNP,m0,0,104,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02695623122912494,28.500104491624324
