method,architecture_id,training_budget,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,18866,2,100,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0025820585154434,28.470566201879755
CNP,m0,18866,2,100,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5536225290006552,1.9299900660067928
CNP,m0,18866,2,101,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0143453334294441,21.004312004568227
CNP,m0,18866,2,101,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0200917621737461,25.5672500953121
CNP,m0,18866,2,101,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0028737468791839,28.470274513516014
CNP,m0,18866,2,101,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.55506517514399,1.9285474198634576
CNP,m0,18866,2,102,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0146802833566717,21.003977054641
CNP,m0,18866,2,102,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0205000687981238,25.56765840193648
CNP,m0,18866,2,102,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0026938138977694,28.470454446497428
CNP,m0,18866,2,102,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5514068049310206,1.9322057900764271
CNP,m0,18866,2,103,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0141980032316024,21.004459334766068
CNP,m0,18866,2,103,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0197745270790972,25.56693286021745
CNP,m0,18866,2,103,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0030178979284589,28.47013036246674
CNP,m0,18866,2,103,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5464592456919881,1.93715334931546
CNP,m0,18866,2,104,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0141892763720119,21.00446806162566
