mode,mode_label,region_id,training_seeds,contexts_per_seed,passing_count_difference_all_events_mean,passing_count_difference_all_events_across_seed_sd,passing_count_difference_all_events_mean_within_seed_context_sd,efficiency_difference_pp_all_events_mean,efficiency_difference_pp_all_events_across_seed_sd,efficiency_difference_pp_all_events_mean_within_seed_context_sd,weighted_bin_MAE_pp_supported_mean,weighted_bin_MAE_pp_supported_across_seed_sd,weighted_bin_MAE_pp_supported_mean_within_seed_context_sd,C1_percent_mean,C1_percent_across_seed_sd,C1_percent_mean_within_seed_context_sd,C2_percent_mean,C2_percent_across_seed_sd,C2_percent_mean_within_seed_context_sd,C3_percent_mean,C3_percent_across_seed_sd,C3_percent_mean_within_seed_context_sd
full_density,Full density guidance,continuum_2200_2400,3,10,145.67968590780094,95.90226678114826,17.45945254316209,1.60210806013198,1.054682357650371,0.19200981571716805,3.4989054819326113,0.43002358615376673,0.06665733630657285,48.666666666666664,5.433307770901013,1.405456737852613,89.41666666666667,2.8099525500145606,1.5363395449195805,99.33333333333333,1.1547005383792517,0.35136418446315326
full_density,Full density guidance,sparse_tail_2700_3000,3,10,25.22594454066957,7.33704789402736,15.747411257940707,16.81729636044638,4.891365262684909,10.498274171960473,19.118811317353465,3.8810622370232912,8.776506840251555,38.71794871794871,13.76758334221415,22.647998536375287,53.07692307692307,14.655814525582809,27.27162613012754,66.41025641025641,11.208970766356103,29.341600748326883
global_gate,Global decoder gate,overall,3,10,-1082.2614676553112,673.6054658157093,284.0263804268629,-0.9460327514469505,0.5888159666221235,0.24827480806543958,4.8108307841590685,0.05511094133467637,0.13070282047984094,43.46907993966818,0.5751829552237826,1.0915285571111644,77.13423831070888,0.9927289696473248,1.1876241762936268,91.14630467571642,0.6670692122924857,0.5968011679600053
global_gate,Global decoder gate,DEP_core,3,10,-197.78357020600637,5.489940474569318,5.0994056537980805,-23.886904614251975,0.6630362891991944,0.6158702480432461,23.39455391690285,0.6769993997067815,0.6143654260127881,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0
global_gate,Global decoder gate,feature_1620_core,3,10,149.59326994007827,5.92979430501785,4.55188278556924,18.935856954440286,0.7506068740528916,0.5761876943758528,18.935856954440283,0.7506068740528962,0.5761876943758566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_gate,Global decoder gate,SE_core,3,10,115.34774780407547,32.07593299598154,1.8790467668079553,8.506471076996716,2.3654817843644205,0.13857277041356617,7.373786005689239,2.3714422859921584,0.13953519756296465,0.0,0.0,0.0,16.666666666666668,28.867513459481287,0.0,50.0,0.0,0.0
global_gate,Global decoder gate,FE_core,3,10,-263.17958083869513,140.92684510310352,123.07915676232176,-3.0882372780884206,1.6536827634722309,1.4442520155165661,3.254968877546912,1.5157086121498267,1.3427444088003888,11.666666666666666,20.207259421636902,13.721210039142742,16.666666666666668,28.867513459481287,17.568209223157663,18.333333333333332,31.75426480542942,16.57381543352922
global_gate,Global decoder gate,DEP_broad,3,10,-194.66378550817572,10.208179874815569,6.772722784224261,-15.066856463481093,0.7901068014563123,0.5242045498625588,15.926840877441357,0.4819870769463311,0.3550254408688869,65.55555555555556,1.9245008972987498,2.3424278964210328,83.33333333333334,0.0,1.4979556132593925e-14,83.33333333333334,0.0,1.4979556132593925e-14
global_gate,Global decoder gate,feature_1620_broad,3,10,137.08954682995878,6.11900805528534,6.353795276483296,10.299740558223798,0.4597301318771873,0.47737004331204336,12.094958991688193,0.4993592383868788,0.2802662381237832,46.11111111111111,6.735753140545636,2.6835882863313767,66.66666666666666,0.0,1.4979556132593925e-14,66.66666666666666,0.0,1.4979556132593925e-14
global_gate,Global decoder gate,SE_broad,3,10,83.30311153629421,45.080451383709345,2.5736060362002733,4.138256906919732,2.2394660399259485,0.12784928148039112,6.3995960981174305,1.571642499988694,0.07882265340627825,18.333333333333332,2.886751345948131,2.6835882863313802,72.22222222222221,9.622504486493773,1.4979556132593925e-14,83.33333333333334,0.0,1.4979556132593925e-14
