aggregation_level,left_mode,right_mode,estimand,region_id,training_seed,component_count,C1_difference_pp_left_minus_right_mean,C1_difference_pp_left_minus_right_descriptive_sd,C2_difference_pp_left_minus_right_mean,C2_difference_pp_left_minus_right_descriptive_sd,C3_difference_pp_left_minus_right_mean,C3_difference_pp_left_minus_right_descriptive_sd,weighted_MAE_difference_pp_left_minus_right_mean,weighted_MAE_difference_pp_left_minus_right_descriptive_sd,efficiency_difference_contrast_pp_left_minus_right_mean,efficiency_difference_contrast_pp_left_minus_right_descriptive_sd
contexts_within_seed,global_gate,global_both,adaptive attention with global gate,overall,2,10,2.443438914027149,0.909991139004426,1.7873303167420815,0.7797319472436056,0.7013574660633466,0.3608894755356035,0.02333839414728791,0.04048581639381143,-0.08369997040973348,0.029335867530480744
contexts_within_seed,global_gate,global_both,adaptive attention with global gate,sparse_tail_2700_3000,2,10,37.69230769230769,27.959301689300467,43.07692307692308,20.57682322845013,20.769230769230766,10.288411614225067,-9.894149478752436,4.304992580525915,-12.458604269100418,6.374194896179334
contexts_within_seed,global_gate,global_both,adaptive attention with global gate,FE_core,2,10,5.0,28.382310609877337,5.0,15.811388300841896,-25.0,42.49182927993987,0.2699382532579812,0.46524138171494717,-0.5630281272758593,0.15619649498221833
contexts_within_seed,global_gate,global_both,adaptive attention with global gate,SE_core,2,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.002401268854174532,0.041722410669908054,0.011301926714657106,0.040437930274356534
contexts_within_seed,global_gate,global_both,adaptive attention with global gate,DEP_core,2,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.5412527678173337,0.014109805697311777,0.5342209602611654,0.013641426997366321
contexts_within_seed,global_gate,global_both,adaptive attention with global gate,feature_1620_core,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5907512921019414,0.019683593513290125,0.5907512921019435,0.019683593513302223
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,peaks_equal_four_cores,0,10,-3.75,8.43685697138191,11.25,3.952847075210474,36.25,7.095577652469334,-8.069408630446647,0.16545372791768573,,
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,continuum_equal_two_windows,0,10,4.124999999999995,1.576862997720552,4.833333333333326,1.1486707293408478,2.7083333333333144,0.6588078458684123,-0.7498190344306389,0.04445071115033971,,
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,overall,0,10,3.914027149321266,0.9361766294831222,1.4027149321266947,0.7601570538976878,1.1312217194570138,0.5743418631873238,-0.347487342210663,0.018398390349193848,-0.04221127202613293,0.028830757795980797
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,sparse_tail_2700_3000,0,10,-7.692307692307692,3.626188621469474,-17.69230769230769,14.067555614713028,-39.230769230769226,15.992272953346333,8.306340279334279,0.9068273030472233,9.636359069932253,0.8616008253509921
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,FE_core,0,10,0.0,0.0,0.0,0.0,5.0,15.811388300841896,0.9878594756704606,0.16035275753346687,-1.093209021357084,0.15433321597798672
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,SE_core,0,10,0.0,0.0,-50.0,0.0,40.0,21.081851067789195,-2.007728054587409,0.47750138575090784,-7.081147839072858,0.37906949377615706
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,DEP_core,0,10,-20.0,25.81988897471611,45.0,15.811388300841896,50.0,0.0,-21.756668142807595,0.1498915556946756,21.812148750634584,0.15105392563449316
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,feature_1620_core,0,10,5.0,15.811388300841896,50.0,0.0,50.0,0.0,-9.501097800062045,0.4626425588651034,-12.400754009294735,0.0597587038854214
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,peaks_equal_four_cores,1,10,2.5,5.270462766947299,17.5,6.454972243679028,25.0,0.0,-6.584736880766378,0.21463097571721837,,
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,continuum_equal_two_windows,1,10,13.708333333333337,1.5768629977205542,7.5000000000000115,1.25769238029686,5.208333333333329,0.5288731323516608,-0.990578844693918,0.07160489475340814,,
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,overall,1,10,5.927601809954751,1.0438887766514797,3.8687782805429847,1.232056893023797,1.515837104072395,0.7545247926564548,-0.12401703155029073,0.04631590204388992,-0.20846110103485108,0.04455184509441243
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,sparse_tail_2700_3000,1,10,-12.307692307692308,5.3785069136930845,-23.846153846153843,13.784287236631396,-40.0,18.05827370426565,8.938363287692482,1.3513154607410491,11.671275368247148,1.445365944652116
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,FE_core,1,10,0.0,0.0,0.0,0.0,0.0,0.0,2.5508599467770687,0.21454048798695674,-2.5649160243428915,0.21084723080383846
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,SE_core,1,10,0.0,0.0,-30.0,25.81988897471611,0.0,0.0,0.864667702717082,0.5517555049747451,-8.940336094311903,0.23856892431607304
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,DEP_core,1,10,0.0,0.0,50.0,0.0,50.0,0.0,-22.09185127776596,0.6816171698496074,23.643771329558128,0.6630487893868661
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,feature_1620_core,1,10,10.0,21.081851067789195,50.0,0.0,50.0,0.0,-7.662623894793702,0.3344743541176232,-10.446310217721933,0.21261251258211586
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,peaks_equal_four_cores,2,10,15.0,11.486707293408518,40.0,17.480147469502526,33.75,10.290907529357057,-9.561676861042795,0.3445776427052737,,
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,continuum_equal_two_windows,2,10,7.208333333333334,1.4170751045205223,9.208333333333332,0.9712296520581721,5.5416666666666625,0.857294409000602,-1.2214785224105866,0.05003340851654508,,
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,overall,2,10,3.4841628959276014,1.2807197414994758,1.3574660633484186,0.8859230863100074,1.9230769230769211,0.5768121621711266,-0.8846218493335194,0.1369948637619819,0.46765981060140166,0.03247621972941714
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,sparse_tail_2700_3000,2,10,-1.5384615384615385,3.2433617027367996,-14.615384615384613,12.794846102435537,-39.99999999999999,3.243361702736799,13.177596156271722,0.2888571597479157,11.384715206334986,0.3114017585588069
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,FE_core,2,10,-10.0,45.94682917363407,10.0,69.9205898780101,-15.0,41.16363011742823,0.2941380960273383,1.2454451090175873,1.2922971248197874,0.23507204679962695
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,SE_core,2,10,25.0,26.352313834736496,50.0,0.0,50.0,0.0,-7.3821876849588435,0.44828396889591443,-9.229386724276019,0.20595517238715297
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,DEP_core,2,10,-5.0,15.811388300841896,50.0,0.0,50.0,0.0,-21.562306596756546,0.0207306473118597,21.6062899461691,0.020906573050117973
contexts_within_seed,global_attention,global_both,adaptive gate with global attention,feature_1620_core,2,10,50.0,0.0,50.0,0.0,50.0,0.0,-9.596351258483125,0.31199354041841776,-10.667108374652981,0.03138572056506091
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,peaks_equal_four_cores,0,10,3.75,8.43685697138191,5.0,8.740073734751263,-8.75,8.43685697138191,-3.0462087811783514,0.6602197338045892,,
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,continuum_equal_two_windows,0,10,-2.8749999999999973,1.8262700637307188,-6.750000000000003,0.9170874455121742,-3.3749999999999885,0.5709667997526242,0.5751793195594695,0.053316584230831784,,
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,overall,0,10,-1.8552036199095028,0.7450430790484746,0.02262443438914232,0.9801020570910853,-0.06787330316742128,0.8733148898470028,-2.0823538524853134,0.2347661212194674,-4.083299266781058,0.0654066047702897
